feature1,feature2,target
1,5,0
1,5,0
2,4,0
1,5,0
1,5,0
2,5,0
1,4,0
1,5,0
1,4,0
1,5,0
0,5,0
1,4,0
1,5,0
1,4,0
0,4,0
1,4,0
1,5,0
2,5,0
0,4,0
1,4,0
1,5,0
1,5,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,5,0
1,4,0
1,4,0
1,4,0
1,4,0
1,5,0
1,5,0
1,5,0
2,5,0
1,5,0
2,5,0
1,5,0
1,5,0
1,5,0
1,4,0
1,4,0
2,5,0
1,4,0
1,4,0
1,4,0
1,4,0
2,5,0
1,5,0
0,4,0
1,5,0
1,5,0
1,5,0
1,5,0
2,4,0
1,4,0
1,5,0
1,4,0
1,5,0
1,5,0
1,5,0
1,4,0
1,5,0
2,4,0
1,5,0
0,4,0
1,4,0
0,5,0
2,4,0
2,5,0
1,5,0
1,5,0
0,5,0
1,4,0
1,4,0
1,5,0
1,4,0
2,5,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,5,0
1,4,0
1,4,0
1,4,0
1,5,0
1,5,0
1,5,0
1,5,0
1,4,0
1,5,0
1,5,0
1,4,0
1,5,0
1,5,0
4,3,1
3,3,1
3,3,1
3,3,1
4,2,1
4,3,1
4,3,1
4,2,1
3,2,1
4,3,1
3,3,1
3,3,1
3,3,1
4,3,1
3,3,1
3,2,1
3,3,1
4,3,1
3,2,1
3,2,1
3,2,1
3,2,1
3,2,1
4,3,1
3,2,1
3,2,1
3,3,1
3,3,1
4,2,1
4,2,1
3,3,1
3,2,1
3,2,1
4,3,1
3,2,1
3,3,1
3,2,1
4,3,1
3,2,1
3,2,1
3,3,1
4,2,1
4,3,1
3,2,1
3,2,1
3,2,1
3,2,1
3,3,1
3,2,1
4,3,1
3,2,1
4,3,1
4,3,1
4,3,1
4,2,1
4,3,1
3,3,1
4,2,1
3,2,1
3,2,1
4,3,1
3,2,1
4,2,1
3,3,1
3,2,1
4,3,1
4,2,1
4,2,1
3,2,1
4,3,1
4,2,1
4,2,1
3,3,1
3,2,1
4,3,1
3,3,1
4,2,1
3,3,1
4,2,1
3,2,1
4,3,1
3,3,1
3,3,1
4,3,1
3,3,1
4,3,1
3,3,1
3,2,1
3,2,1
4,2,1
3,3,1
3,2,1
3,3,1
3,3,1
4,2,1
3,3,1
4,3,1
3,2,1
4,3,1
3,3,1
