feature1,feature2,target
-6.4437,-5.1949,0.0000
-12.4000,0.6821,0.0000
-11.2126,-7.9159,0.0000
-3.2580,-9.3138,0.0000
-8.6649,-8.1489,0.0000
-3.0897,2.9404,0.0000
-4.8561,-8.8726,0.0000
-3.1326,-7.0652,0.0000
-5.0663,-0.9297,0.0000
-7.5907,-4.9687,0.0000
-8.0419,-5.5419,0.0000
-4.1112,-8.4252,0.0000
-6.1737,-5.8182,0.0000
-7.2089,-9.1140,0.0000
-9.9232,-5.5317,0.0000
-5.9320,2.7297,0.0000
-13.4343,-4.6095,0.0000
-3.7167,-0.2901,0.0000
-3.2615,-7.9244,0.0000
-5.0000,-3.1212,0.0000
-6.0860,-2.3291,0.0000
-11.4713,0.9970,0.0000
0.0842,-6.1628,0.0000
-2.8823,-4.8338,0.0000
-7.8722,-4.6962,0.0000
-1.5346,-6.3201,0.0000
-6.3014,-5.2580,0.0000
-3.4983,-0.5716,0.0000
-7.1986,-3.2389,0.0000
-4.2514,-11.4384,0.0000
-6.4526,-5.4584,0.0000
-5.1371,-3.8707,0.0000
-12.0679,-4.8398,0.0000
-7.3475,-9.9864,0.0000
-3.1838,-2.4529,0.0000
-7.2629,-2.0816,0.0000
-6.3216,-4.7697,0.0000
-8.8061,0.4888,0.0000
-14.2126,-5.3168,0.0000
-2.5920,-12.0441,0.0000
-5.6563,-5.2675,0.0000
-2.1431,-0.6761,0.0000
-6.3991,-9.7961,0.0000
-0.2638,-0.7811,0.0000
-6.6004,-3.7845,0.0000
-3.6772,-3.0384,0.0000
-4.2926,-0.1271,0.0000
-11.0205,-1.3945,0.0000
-3.6820,-5.7522,0.0000
-0.9348,-13.1185,0.0000
-0.9764,-3.6626,0.0000
-8.9253,-3.4997,0.0000
-6.0534,3.9557,0.0000
1.3578,-3.4734,0.0000
-7.4916,-7.0210,0.0000
-6.1260,-6.9407,0.0000
-8.1255,-7.0472,0.0000
-5.9567,-6.7905,0.0000
-7.4200,-8.2178,0.0000
3.8350,-10.1032,0.0000
-8.5383,-3.5021,0.0000
-6.1209,-3.5318,0.0000
-2.2316,-0.6262,0.0000
-2.3951,-8.4425,0.0000
-1.1578,-11.1139,0.0000
-5.3964,-6.7257,0.0000
-8.6747,-2.9504,0.0000
-5.6348,-1.4671,0.0000
-10.1354,-2.0683,0.0000
-3.2751,-4.5618,0.0000
-9.9149,-5.8722,0.0000
-10.3578,-12.2145,0.0000
6.3614,-1.6368,0.0000
1.2097,-6.4861,0.0000
-2.5883,-2.5841,0.0000
-2.9163,-4.9873,0.0000
-5.7907,-12.1693,0.0000
-2.8864,-3.5330,0.0000
-1.1275,-5.9500,0.0000
1.0338,-6.5502,0.0000
-9.3489,-1.7501,0.0000
-6.6224,-9.3465,0.0000
-4.5676,-2.3794,0.0000
-4.1636,-3.2769,0.0000
9.2329,-2.1556,0.0000
0.3062,-11.8792,0.0000
-3.7354,-2.3185,0.0000
-6.2626,-8.0345,0.0000
-3.6264,-6.0899,0.0000
-7.0568,-1.0180,0.0000
-0.3735,-3.9517,0.0000
-6.5735,-3.2182,0.0000
-2.1267,-2.8155,0.0000
-10.0346,-6.1709,0.0000
-3.7559,-2.8446,0.0000
-1.6718,-2.3729,0.0000
-8.9294,-7.4506,0.0000
-9.2312,1.2509,0.0000
-4.3750,-3.0838,0.0000
-1.4215,-6.1397,0.0000
-8.9872,-6.4775,0.0000
-5.5132,0.2011,0.0000
-1.9876,-8.7658,0.0000
-2.6991,-2.4543,0.0000
-8.6767,-5.3759,0.0000
-11.4100,-3.8552,0.0000
-6.0936,-9.6765,0.0000
-7.4185,-4.1688,0.0000
-6.9155,-3.9624,0.0000
-3.0855,-7.9114,0.0000
-6.0817,2.4294,0.0000
-4.5805,-7.9335,0.0000
-4.7906,-9.6370,0.0000
-1.0761,-3.7172,0.0000
-1.2387,-1.8748,0.0000
-3.6480,-1.6207,0.0000
-4.3364,-7.2940,0.0000
-8.5456,-6.5525,0.0000
-13.6792,1.3254,0.0000
-10.9377,-5.2655,0.0000
-9.5642,-12.0169,0.0000
-5.2849,-6.0554,0.0000
-5.5533,-3.0984,0.0000
-7.1421,-3.6878,0.0000
-3.2220,-6.1599,0.0000
-5.9821,-3.1348,0.0000
-4.8017,-4.4489,0.0000
-13.2252,-4.7973,0.0000
-3.6956,-5.4693,0.0000
-3.8364,1.5970,0.0000
-4.7043,-2.6952,0.0000
-7.9445,-7.9526,0.0000
-6.6627,-8.5322,0.0000
-5.0263,-8.2349,0.0000
-5.6062,-9.9784,0.0000
-10.7234,-7.3406,0.0000
-8.6964,-7.2618,0.0000
-7.1204,-6.2168,0.0000
-1.3784,-0.2576,0.0000
-2.4873,-6.2453,0.0000
0.1856,-10.3039,0.0000
-12.0091,-4.0717,0.0000
-5.0076,-5.4825,0.0000
-4.8872,-10.6831,0.0000
-9.0069,-0.7252,0.0000
-1.4383,-7.5007,0.0000
1.6967,-8.7093,0.0000
-6.9793,-3.9870,0.0000
-9.1396,-6.6902,0.0000
-5.5995,-6.3695,0.0000
-1.9833,-2.9465,0.0000
-8.8081,-7.3609,0.0000
-4.3762,-5.2319,0.0000
-7.7288,-3.5286,0.0000
-2.1598,-7.1863,0.0000
-2.2666,-10.6176,0.0000
-10.5789,-3.2682,0.0000
-7.8908,-8.4536,0.0000
-5.9124,-7.3464,0.0000
-3.8670,-10.0415,0.0000
-6.2870,5.9499,0.0000
-4.6191,-11.6286,0.0000
-2.9222,-3.0969,0.0000
-0.2064,-4.4861,0.0000
-7.2639,-0.1197,0.0000
-2.5333,-11.2379,0.0000
-2.4102,-5.8068,0.0000
-1.1526,-6.2933,0.0000
-2.2767,-4.3274,0.0000
-2.9693,-5.0706,0.0000
-6.4356,-4.7668,0.0000
-2.8114,-3.5534,0.0000
0.5951,-3.5257,0.0000
-2.7990,2.2823,0.0000
-4.7709,-3.1448,0.0000
-7.0893,-4.8547,0.0000
0.6878,-3.9202,0.0000
0.0270,-8.6890,0.0000
-9.8527,-3.9347,0.0000
-9.7446,4.2503,0.0000
-0.6752,-9.3153,0.0000
-5.5791,-6.9974,0.0000
-3.5589,-5.2004,0.0000
-1.7718,0.0865,0.0000
-5.7667,-9.0639,0.0000
-3.0509,-5.5699,0.0000
-1.0341,-5.5270,0.0000
-2.1255,-3.8358,0.0000
-5.6549,-6.5565,0.0000
-2.5283,3.7633,0.0000
-2.0984,-5.4562,0.0000
-2.5488,-4.6049,0.0000
-9.4372,-3.9267,0.0000
0.3634,-6.0941,0.0000
-8.9002,-3.3078,0.0000
1.3426,-1.7431,0.0000
-1.4711,2.9757,0.0000
0.6156,-2.5312,0.0000
-5.7230,-4.5233,0.0000
-5.3580,-2.0612,0.0000
1.9408,10.3534,1.0000
5.5052,3.6140,1.0000
7.8240,-2.1877,1.0000
2.1094,2.7216,1.0000
7.8425,3.3055,1.0000
9.9362,3.4520,1.0000
6.8052,2.5467,1.0000
9.0029,4.1183,1.0000
6.7976,3.2922,1.0000
1.2361,4.2001,1.0000
8.8036,1.4740,1.0000
-0.2980,3.9331,1.0000
7.7046,1.3425,1.0000
3.1159,5.6384,1.0000
3.8545,5.9949,1.0000
9.1206,5.0734,1.0000
4.7734,7.6539,1.0000
4.7865,1.6991,1.0000
1.4858,1.1366,1.0000
11.6254,4.8432,1.0000
6.9985,7.4866,1.0000
1.7472,7.1781,1.0000
3.0445,-2.2324,1.0000
4.2550,1.2760,1.0000
3.8292,6.1889,1.0000
12.9069,3.2826,1.0000
4.4320,6.2873,1.0000
5.6461,4.4512,1.0000
1.2486,1.6862,1.0000
4.3648,0.9823,1.0000
2.7214,0.6649,1.0000
8.8953,-0.1887,1.0000
11.5888,2.9895,1.0000
1.3457,0.9028,1.0000
7.7002,8.5562,1.0000
2.0601,6.1485,1.0000
4.4818,4.1602,1.0000
5.5238,7.6503,1.0000
-1.6394,-2.7157,1.0000
5.7160,4.7545,1.0000
7.3721,-0.9151,1.0000
1.5824,10.3470,1.0000
0.4611,6.2590,1.0000
2.2465,3.5960,1.0000
0.2273,9.1086,1.0000
-1.5950,0.8495,1.0000
1.8474,9.0754,1.0000
6.0365,7.3531,1.0000
4.9388,5.8177,1.0000
6.7114,10.3565,1.0000
5.8551,-0.0880,1.0000
8.9737,5.3310,1.0000
1.1637,4.3893,1.0000
1.5956,12.2285,1.0000
3.8062,-1.9354,1.0000
6.0504,2.1252,1.0000
9.4644,5.4674,1.0000
-1.1613,3.2652,1.0000
1.2305,2.3747,1.0000
2.7700,-1.9586,1.0000
5.6799,1.9658,1.0000
1.9044,7.6047,1.0000
11.5712,2.8208,1.0000
11.2772,-2.1231,1.0000
6.9493,2.9836,1.0000
4.7436,1.5827,1.0000
2.9398,3.9095,1.0000
3.7982,6.4253,1.0000
13.0589,2.8036,1.0000
4.4651,-1.0597,1.0000
-3.7281,9.8191,1.0000
0.3950,2.4172,1.0000
5.0736,8.1555,1.0000
6.0921,11.4647,1.0000
4.3678,-1.3333,1.0000
5.4814,5.4138,1.0000
2.1632,3.8477,1.0000
2.9687,11.0085,1.0000
2.8774,0.1730,1.0000
5.9680,-1.3124,1.0000
6.4792,6.4098,1.0000
2.0752,3.0607,1.0000
2.9197,10.5941,1.0000
6.3682,0.8299,1.0000
0.6786,4.7314,1.0000
4.9538,2.3385,1.0000
6.0089,4.3164,1.0000
8.7302,6.5152,1.0000
4.6772,5.4698,1.0000
1.9422,8.0648,1.0000
6.3275,3.5555,1.0000
5.4081,3.1409,1.0000
13.6159,3.4364,1.0000
6.7973,6.2625,1.0000
2.2344,5.0196,1.0000
3.8882,5.8643,1.0000
5.8879,7.6591,1.0000
7.7125,3.5899,1.0000
3.1817,2.9568,1.0000
2.0121,-1.0375,1.0000
7.0912,4.7242,1.0000
4.2681,-0.7426,1.0000
-0.1998,-3.7137,1.0000
4.6433,7.3183,1.0000
7.0587,4.7294,1.0000
1.2631,4.9689,1.0000
5.0082,7.4448,1.0000
7.6530,4.0777,1.0000
4.8798,7.4117,1.0000
6.5837,4.4087,1.0000
-2.5123,2.6957,1.0000
7.9054,5.5190,1.0000
8.3019,3.8040,1.0000
5.2781,7.7488,1.0000
7.3827,6.3568,1.0000
8.7719,9.6257,1.0000
9.8163,-0.7216,1.0000
3.3153,3.8618,1.0000
3.7369,-0.6729,1.0000
9.5072,1.5314,1.0000
5.3447,-3.3285,1.0000
3.2434,4.1061,1.0000
1.7581,7.5475,1.0000
13.2462,1.9669,1.0000
2.0028,11.0685,1.0000
6.9470,3.9050,1.0000
0.5675,7.5380,1.0000
5.7384,10.3781,1.0000
1.9829,4.3988,1.0000
3.9333,4.2489,1.0000
8.6638,7.9181,1.0000
2.7815,4.6802,1.0000
4.2004,8.0800,1.0000
4.3895,1.1273,1.0000
3.8038,4.8345,1.0000
8.1773,9.4196,1.0000
