feature1,feature2,target
-4.4437,-3.1949,0.0000
-10.4000,2.6821,0.0000
-9.2126,-5.9159,0.0000
-1.2580,-7.3138,0.0000
-6.6649,-6.1489,0.0000
-1.0897,4.9404,0.0000
-2.8561,-6.8726,0.0000
-1.1326,-5.0652,0.0000
-3.0663,1.0703,0.0000
-5.5907,-2.9687,0.0000
-6.0419,-3.5419,0.0000
-2.1112,-6.4252,0.0000
-4.1737,-3.8182,0.0000
-5.2089,-7.1140,0.0000
-7.9232,-3.5317,0.0000
-3.9320,4.7297,0.0000
-11.4343,-2.6095,0.0000
-1.7167,1.7099,0.0000
-1.2615,-5.9244,0.0000
-3.0000,-1.1212,0.0000
-4.0860,-0.3291,0.0000
-9.4713,2.9970,0.0000
2.0842,-4.1628,0.0000
-0.8823,-2.8338,0.0000
-5.8722,-2.6962,0.0000
0.4654,-4.3201,0.0000
-4.3014,-3.2580,0.0000
-1.4983,1.4284,0.0000
-5.1986,-1.2389,0.0000
-2.2514,-9.4384,0.0000
-4.4526,-3.4584,0.0000
-3.1371,-1.8707,0.0000
-10.0679,-2.8398,0.0000
-5.3475,-7.9864,0.0000
-1.1838,-0.4529,0.0000
-5.2629,-0.0816,0.0000
-4.3216,-2.7697,0.0000
-6.8061,2.4888,0.0000
-12.2126,-3.3168,0.0000
-0.5920,-10.0441,0.0000
-3.6563,-3.2675,0.0000
-0.1431,1.3239,0.0000
-4.3991,-7.7961,0.0000
1.7362,1.2189,0.0000
-4.6004,-1.7845,0.0000
-1.6772,-1.0384,0.0000
-2.2926,1.8729,0.0000
-9.0205,0.6055,0.0000
-1.6820,-3.7522,0.0000
1.0652,-11.1185,0.0000
1.0236,-1.6626,0.0000
-6.9253,-1.4997,0.0000
-4.0534,5.9557,0.0000
3.3578,-1.4734,0.0000
-5.4916,-5.0210,0.0000
-4.1260,-4.9407,0.0000
-6.1255,-5.0472,0.0000
-3.9567,-4.7905,0.0000
-5.4200,-6.2178,0.0000
5.8350,-8.1032,0.0000
-6.5383,-1.5021,0.0000
-4.1209,-1.5318,0.0000
-0.2316,1.3738,0.0000
-0.3951,-6.4425,0.0000
0.8422,-9.1139,0.0000
-3.3964,-4.7257,0.0000
-6.6747,-0.9504,0.0000
-3.6348,0.5329,0.0000
-8.1354,-0.0683,0.0000
-1.2751,-2.5618,0.0000
-7.9149,-3.8722,0.0000
-8.3578,-10.2145,0.0000
8.3614,0.3632,0.0000
3.2097,-4.4861,0.0000
-0.5883,-0.5841,0.0000
-0.9163,-2.9873,0.0000
-3.7907,-10.1693,0.0000
-0.8864,-1.5330,0.0000
0.8725,-3.9500,0.0000
3.0338,-4.5502,0.0000
-7.3489,0.2499,0.0000
-4.6224,-7.3465,0.0000
-2.5676,-0.3794,0.0000
-2.1636,-1.2769,0.0000
11.2329,-0.1556,0.0000
2.3062,-9.8792,0.0000
-1.7354,-0.3185,0.0000
-4.2626,-6.0345,0.0000
-1.6264,-4.0899,0.0000
-5.0568,0.9820,0.0000
1.6265,-1.9517,0.0000
-4.5735,-1.2182,0.0000
-0.1267,-0.8155,0.0000
-8.0346,-4.1709,0.0000
-1.7559,-0.8446,0.0000
0.3282,-0.3729,0.0000
-6.9294,-5.4506,0.0000
-7.2312,3.2509,0.0000
-2.3750,-1.0838,0.0000
0.5785,-4.1397,0.0000
-6.9872,-4.4775,0.0000
-3.5132,2.2011,0.0000
0.0124,-6.7658,0.0000
-0.6991,-0.4543,0.0000
-6.6767,-3.3759,0.0000
-9.4100,-1.8552,0.0000
-4.0936,-7.6765,0.0000
-5.4185,-2.1688,0.0000
-4.9155,-1.9624,0.0000
-1.0855,-5.9114,0.0000
-4.0817,4.4294,0.0000
-2.5805,-5.9335,0.0000
-2.7906,-7.6370,0.0000
0.9239,-1.7172,0.0000
0.7613,0.1252,0.0000
-1.6480,0.3793,0.0000
-2.3364,-5.2940,0.0000
-6.5456,-4.5525,0.0000
-11.6792,3.3254,0.0000
-8.9377,-3.2655,0.0000
-7.5642,-10.0169,0.0000
-3.2849,-4.0554,0.0000
-3.5533,-1.0984,0.0000
-5.1421,-1.6878,0.0000
-1.2220,-4.1599,0.0000
-3.9821,-1.1348,0.0000
-2.8017,-2.4489,0.0000
-11.2252,-2.7973,0.0000
-1.6956,-3.4693,0.0000
-1.8364,3.5970,0.0000
-2.7043,-0.6952,0.0000
-5.9445,-5.9526,0.0000
-4.6627,-6.5322,0.0000
-3.0263,-6.2349,0.0000
-3.6062,-7.9784,0.0000
-8.7234,-5.3406,0.0000
-6.6964,-5.2618,0.0000
-5.1204,-4.2168,0.0000
0.6216,1.7424,0.0000
-0.4873,-4.2453,0.0000
2.1856,-8.3039,0.0000
-10.0091,-2.0717,0.0000
-3.0076,-3.4825,0.0000
-2.8872,-8.6831,0.0000
-7.0069,1.2748,0.0000
0.5617,-5.5007,0.0000
3.6967,-6.7093,0.0000
-4.9793,-1.9870,0.0000
-7.1396,-4.6902,0.0000
-3.5995,-4.3695,0.0000
0.0167,-0.9465,0.0000
-6.8081,-5.3609,0.0000
-2.3762,-3.2319,0.0000
-5.7288,-1.5286,0.0000
-0.1598,-5.1863,0.0000
-0.2666,-8.6176,0.0000
-8.5789,-1.2682,0.0000
-5.8908,-6.4536,0.0000
-3.9124,-5.3464,0.0000
-1.8670,-8.0415,0.0000
-4.2870,7.9499,0.0000
-2.6191,-9.6286,0.0000
-0.9222,-1.0969,0.0000
1.7936,-2.4861,0.0000
-5.2639,1.8803,0.0000
-0.5333,-9.2379,0.0000
-0.4102,-3.8068,0.0000
0.8474,-4.2933,0.0000
-0.2767,-2.3274,0.0000
-0.9693,-3.0706,0.0000
-4.4356,-2.7668,0.0000
-0.8114,-1.5534,0.0000
2.5951,-1.5257,0.0000
-0.7990,4.2823,0.0000
-2.7709,-1.1448,0.0000
-5.0893,-2.8547,0.0000
2.6878,-1.9202,0.0000
2.0270,-6.6890,0.0000
-7.8527,-1.9347,0.0000
-7.7446,6.2503,0.0000
1.3248,-7.3153,0.0000
-3.5791,-4.9974,0.0000
-1.5589,-3.2004,0.0000
0.2282,2.0865,0.0000
-3.7667,-7.0639,0.0000
-1.0509,-3.5699,0.0000
0.9659,-3.5270,0.0000
-0.1255,-1.8358,0.0000
-3.6549,-4.5565,0.0000
-0.5283,5.7633,0.0000
-0.0984,-3.4562,0.0000
-0.5488,-2.6049,0.0000
-7.4372,-1.9267,0.0000
2.3634,-4.0941,0.0000
-6.9002,-1.3078,0.0000
3.3426,0.2569,0.0000
0.5289,4.9757,0.0000
2.6156,-0.5312,0.0000
-3.7230,-2.5233,0.0000
-3.3580,-0.0612,0.0000
-0.0592,8.3534,1.0000
3.5052,1.6140,1.0000
5.8240,-4.1877,1.0000
0.1094,0.7216,1.0000
5.8425,1.3055,1.0000
7.9362,1.4520,1.0000
4.8052,0.5467,1.0000
7.0029,2.1183,1.0000
4.7976,1.2922,1.0000
-0.7639,2.2001,1.0000
6.8036,-0.5260,1.0000
-2.2980,1.9331,1.0000
5.7046,-0.6575,1.0000
1.1159,3.6384,1.0000
1.8545,3.9949,1.0000
7.1206,3.0734,1.0000
2.7734,5.6539,1.0000
2.7865,-0.3009,1.0000
-0.5142,-0.8634,1.0000
9.6254,2.8432,1.0000
4.9985,5.4866,1.0000
-0.2528,5.1781,1.0000
1.0445,-4.2324,1.0000
2.2550,-0.7240,1.0000
1.8292,4.1889,1.0000
10.9069,1.2826,1.0000
2.4320,4.2873,1.0000
3.6461,2.4512,1.0000
-0.7514,-0.3138,1.0000
2.3648,-1.0177,1.0000
0.7214,-1.3351,1.0000
6.8953,-2.1887,1.0000
9.5888,0.9895,1.0000
-0.6543,-1.0972,1.0000
5.7002,6.5562,1.0000
0.0601,4.1485,1.0000
2.4818,2.1602,1.0000
3.5238,5.6503,1.0000
-3.6394,-4.7157,1.0000
3.7160,2.7545,1.0000
5.3721,-2.9151,1.0000
-0.4176,8.3470,1.0000
-1.5389,4.2590,1.0000
0.2465,1.5960,1.0000
-1.7727,7.1086,1.0000
-3.5950,-1.1505,1.0000
-0.1526,7.0754,1.0000
4.0365,5.3531,1.0000
2.9388,3.8177,1.0000
4.7114,8.3565,1.0000
3.8551,-2.0880,1.0000
6.9737,3.3310,1.0000
-0.8363,2.3893,1.0000
-0.4044,10.2285,1.0000
1.8062,-3.9354,1.0000
4.0504,0.1252,1.0000
7.4644,3.4674,1.0000
-3.1613,1.2652,1.0000
-0.7695,0.3747,1.0000
0.7700,-3.9586,1.0000
3.6799,-0.0342,1.0000
-0.0956,5.6047,1.0000
9.5712,0.8208,1.0000
9.2772,-4.1231,1.0000
4.9493,0.9836,1.0000
2.7436,-0.4173,1.0000
0.9398,1.9095,1.0000
1.7982,4.4253,1.0000
11.0589,0.8036,1.0000
2.4651,-3.0597,1.0000
-5.7281,7.8191,1.0000
-1.6050,0.4172,1.0000
3.0736,6.1555,1.0000
4.0921,9.4647,1.0000
2.3678,-3.3333,1.0000
3.4814,3.4138,1.0000
0.1632,1.8477,1.0000
0.9687,9.0085,1.0000
0.8774,-1.8270,1.0000
3.9680,-3.3124,1.0000
4.4792,4.4098,1.0000
0.0752,1.0607,1.0000
0.9197,8.5941,1.0000
4.3682,-1.1701,1.0000
-1.3214,2.7314,1.0000
2.9538,0.3385,1.0000
4.0089,2.3164,1.0000
6.7302,4.5152,1.0000
2.6772,3.4698,1.0000
-0.0578,6.0648,1.0000
4.3275,1.5555,1.0000
3.4081,1.1409,1.0000
11.6159,1.4364,1.0000
4.7973,4.2625,1.0000
0.2344,3.0196,1.0000
1.8882,3.8643,1.0000
3.8879,5.6591,1.0000
5.7125,1.5899,1.0000
1.1817,0.9568,1.0000
0.0121,-3.0375,1.0000
5.0912,2.7242,1.0000
2.2681,-2.7426,1.0000
-2.1998,-5.7137,1.0000
2.6433,5.3183,1.0000
5.0587,2.7294,1.0000
-0.7369,2.9689,1.0000
3.0082,5.4448,1.0000
5.6530,2.0777,1.0000
2.8798,5.4117,1.0000
4.5837,2.4087,1.0000
-4.5123,0.6957,1.0000
5.9054,3.5190,1.0000
6.3019,1.8040,1.0000
3.2781,5.7488,1.0000
5.3827,4.3568,1.0000
6.7719,7.6257,1.0000
7.8163,-2.7216,1.0000
1.3153,1.8618,1.0000
1.7369,-2.6729,1.0000
7.5072,-0.4686,1.0000
3.3447,-5.3285,1.0000
1.2434,2.1061,1.0000
-0.2419,5.5475,1.0000
11.2462,-0.0331,1.0000
0.0028,9.0685,1.0000
4.9470,1.9050,1.0000
-1.4325,5.5380,1.0000
3.7384,8.3781,1.0000
-0.0171,2.3988,1.0000
1.9333,2.2489,1.0000
6.6638,5.9181,1.0000
0.7815,2.6802,1.0000
2.2004,6.0800,1.0000
2.3895,-0.8727,1.0000
1.8038,2.8345,1.0000
6.1773,7.4196,1.0000
7.4714,4.2613,1.0000
1.2058,5.0136,1.0000
2.3386,0.8341,1.0000
4.0020,4.3867,1.0000
5.9914,-0.1346,1.0000
-2.7976,4.7292,1.0000
-0.3648,6.4300,1.0000
-0.8394,0.9559,1.0000
-3.2986,10.0552,1.0000
1.3691,2.6676,1.0000
1.1289,2.1183,1.0000
5.8187,3.3053,1.0000
2.8998,7.0623,1.0000
-1.7473,6.8574,1.0000
8.4625,-1.8730,1.0000
3.8762,-1.5222,1.0000
-4.3781,-0.0038,1.0000
4.7506,5.5588,1.0000
1.6607,-0.0643,1.0000
1.4158,0.4517,1.0000
0.7511,-5.4117,1.0000
2.1093,2.5255,1.0000
10.4910,5.2778,1.0000
2.4448,3.1837,1.0000
4.0682,0.4979,1.0000
-4.2869,0.3972,1.0000
2.1404,3.3241,1.0000
0.4379,-0.2762,1.0000
2.0034,3.1041,1.0000
4.8958,2.0774,1.0000
4.4345,-0.5437,1.0000
5.7350,2.7203,1.0000
-1.8053,2.0416,1.0000
3.2869,-0.7668,1.0000
5.4318,1.7663,1.0000
4.4965,-0.5260,1.0000
3.9968,5.4403,1.0000
1.3966,2.2571,1.0000
0.9459,4.0794,1.0000
3.0348,4.6586,1.0000
2.7218,-1.4764,1.0000
-1.6190,1.3724,1.0000
4.5249,10.7688,1.0000
5.9404,0.8063,1.0000
-4.0871,4.7130,1.0000
2.9932,-1.2666,1.0000
6.0335,2.9627,1.0000
1.5093,-3.7560,1.0000
6.2879,3.1763,1.0000
2.0785,-0.3911,1.0000
1.6704,7.2326,1.0000
4.7571,9.8930,1.0000
6.6317,4.1527,1.0000
6.0635,3.5158,1.0000
-2.0669,0.8632,1.0000
4.1131,-0.2786,1.0000
1.1635,-1.3620,1.0000
8.8112,-1.6113,1.0000
-0.6473,-0.1142,1.0000
6.3294,6.8677,1.0000
1.0424,4.9576,1.0000
-0.1293,2.9735,1.0000
12.0195,6.2421,1.0000
2.8238,-1.6225,1.0000
