feature1,feature2,target
-3.4705,0.6173,0.0000
-5.8635,-2.6354,0.0000
-6.3923,-0.5017,0.0000
-6.1170,-0.8867,0.0000
-6.0620,-0.6749,0.0000
-7.8581,1.2510,0.0000
-4.7536,2.4177,0.0000
-5.9292,-0.5723,0.0000
-6.7713,-2.1870,0.0000
-4.6107,-1.5571,0.0000
-7.6759,-0.2908,0.0000
-3.8983,0.3348,0.0000
-7.4479,-1.0083,0.0000
-5.1158,-0.2270,0.0000
-7.0873,-0.3253,0.0000
-4.9463,2.7946,0.0000
-7.7595,-0.8859,0.0000
-7.1367,-3.4211,0.0000
-7.3064,-1.4480,0.0000
-4.4105,-0.1866,0.0000
-8.2957,0.9145,0.0000
-6.5038,-2.4652,0.0000
-6.8438,-0.8324,0.0000
-7.2359,0.0420,0.0000
-9.1795,-0.3787,0.0000
-4.5671,1.2060,0.0000
-4.4328,1.5831,0.0000
-3.8963,-1.5815,0.0000
-4.8038,-2.6317,0.0000
-6.8526,-2.7075,0.0000
-4.5177,1.8862,0.0000
-6.2792,2.5097,0.0000
-6.9542,0.2130,0.0000
-5.7837,-1.5050,0.0000
-5.3806,2.7421,0.0000
-7.4495,1.2719,0.0000
-6.2185,2.5026,0.0000
-5.3158,0.9563,0.0000
-5.0904,0.3523,0.0000
-7.9739,1.9681,0.0000
-7.9384,0.3374,0.0000
-5.1316,-1.1850,0.0000
-5.7948,1.6516,0.0000
-6.0341,-1.2568,0.0000
-10.1235,-1.3744,0.0000
-6.8359,-0.7303,0.0000
-7.3576,0.5336,0.0000
-6.8128,-0.1548,0.0000
-5.0396,-1.2098,0.0000
-6.4246,3.0521,0.0000
-4.7636,-1.8293,0.0000
-6.1128,0.7983,0.0000
-4.2556,0.2107,0.0000
-6.7504,-1.0331,0.0000
-5.0877,0.4427,0.0000
-6.7307,-0.2674,0.0000
-6.5886,1.0248,0.0000
-6.9758,0.6879,0.0000
-4.7958,0.6877,0.0000
-7.1798,1.9021,0.0000
-6.9591,0.6031,0.0000
-7.0654,-2.4665,0.0000
-5.6807,0.4059,0.0000
-6.1095,0.3904,0.0000
-6.9170,-1.0429,0.0000
-6.2377,2.7001,0.0000
-4.8477,-0.7354,0.0000
-5.2099,-0.6765,0.0000
-6.6467,1.2152,0.0000
-6.7428,-2.3697,0.0000
-7.2820,0.1250,0.0000
-5.8190,1.7559,0.0000
-7.0126,1.0344,0.0000
-5.3976,-0.2107,0.0000
-4.8179,0.6960,0.0000
-7.2195,1.5156,0.0000
-7.7266,0.0843,0.0000
-5.9965,0.6005,0.0000
-7.0259,-0.0494,0.0000
-6.1989,1.4101,0.0000
-7.1256,0.1029,0.0000
-6.3694,-1.8357,0.0000
-2.2154,-0.1007,0.0000
-8.1025,1.9921,0.0000
-7.5140,0.5245,0.0000
-4.7798,-0.9170,0.0000
-6.6094,-0.7641,0.0000
-6.1829,-2.2945,0.0000
-7.7475,-0.1991,0.0000
-4.5307,0.8934,0.0000
-3.5542,0.9815,0.0000
-6.7228,-0.1737,0.0000
-8.8714,-1.3587,0.0000
-7.4430,0.3827,0.0000
-5.0838,-0.7925,0.0000
-6.8323,-2.1872,0.0000
-6.1807,0.3510,0.0000
-5.3696,-1.1069,0.0000
-3.1879,1.6901,0.0000
-6.1347,-0.7456,0.0000
6.1259,1.1015,0.0000
7.7885,-1.2452,0.0000
6.3343,1.1534,0.0000
8.6316,0.3615,0.0000
5.2342,-0.9752,0.0000
5.4945,-0.9220,0.0000
7.1689,1.5122,0.0000
7.0251,1.6860,0.0000
5.3583,0.5379,0.0000
5.4560,0.0617,0.0000
7.7324,-0.0421,0.0000
3.3628,-0.3575,0.0000
4.9919,-2.1339,0.0000
4.8823,1.3585,0.0000
8.3772,-0.6916,0.0000
7.4178,1.6663,0.0000
4.3598,-0.0557,0.0000
5.9371,0.2438,0.0000
3.7461,-0.4938,0.0000
7.4960,1.7850,0.0000
8.5899,-0.4773,0.0000
8.6439,0.9417,0.0000
4.0778,1.0771,0.0000
5.5018,0.7341,0.0000
5.8550,1.7087,0.0000
6.3628,-0.3995,0.0000
7.3647,0.3624,0.0000
5.4160,1.8063,0.0000
5.4225,-0.9010,0.0000
5.2369,-2.0725,0.0000
5.2176,2.6317,0.0000
4.7155,0.0119,0.0000
4.4328,-0.8646,0.0000
8.1478,1.2676,0.0000
5.1370,0.0088,0.0000
4.8319,-1.1090,0.0000
4.7062,-1.2687,0.0000
6.4610,0.8440,0.0000
6.6905,-0.2396,0.0000
4.0794,-0.0949,0.0000
4.6929,1.2463,0.0000
6.7869,1.0563,0.0000
5.5073,-2.5612,0.0000
7.3547,1.7343,0.0000
3.9023,0.1950,0.0000
7.6875,-1.5213,0.0000
8.4999,-0.4936,0.0000
4.4792,1.9398,0.0000
6.4165,-0.9237,0.0000
7.2442,-2.7659,0.0000
8.5672,-1.1544,0.0000
6.4044,-0.5637,0.0000
6.6169,1.2557,0.0000
4.8348,1.1121,0.0000
5.5842,-0.9728,0.0000
5.6832,-1.4207,0.0000
4.8748,1.3423,0.0000
5.7867,1.6144,0.0000
6.6106,-1.4509,0.0000
3.3160,-0.9719,0.0000
6.3735,0.0125,0.0000
4.8261,1.4323,0.0000
3.5312,-1.7800,0.0000
6.1800,3.1024,0.0000
6.5854,-1.4216,0.0000
6.8381,0.9665,0.0000
7.3263,-0.5796,0.0000
4.8690,0.1672,0.0000
6.5873,2.2602,0.0000
8.9552,-1.0367,0.0000
5.2604,-0.0899,0.0000
5.6468,0.6870,0.0000
6.6869,0.3647,0.0000
7.9008,-0.2242,0.0000
4.5139,-2.2070,0.0000
4.5460,-1.4768,0.0000
3.3364,0.9379,0.0000
6.2620,-0.5979,0.0000
4.7415,-2.2358,0.0000
4.6993,2.6133,0.0000
2.8735,0.2006,0.0000
7.0517,0.1925,0.0000
5.5520,1.0862,0.0000
4.4397,0.7857,0.0000
8.0233,-1.4727,0.0000
4.8406,0.1922,0.0000
7.3995,1.8938,0.0000
6.9626,-0.9468,0.0000
4.4240,0.3436,0.0000
6.5632,-1.5564,0.0000
6.0846,0.4699,0.0000
7.4779,-1.4009,0.0000
6.7877,-1.6536,0.0000
5.3967,-0.1107,0.0000
8.1467,4.6871,0.0000
6.3586,0.7004,0.0000
7.4249,-1.9257,0.0000
7.0828,-1.7561,0.0000
8.3039,2.0414,0.0000
6.7093,-1.1408,0.0000
-0.4548,-5.7863,1.0000
-0.0263,-5.3162,1.0000
1.0875,-4.0678,1.0000
1.6225,-6.1559,1.0000
0.5491,-6.5475,1.0000
-0.8305,-3.2977,1.0000
-0.6503,-3.1847,1.0000
-0.4936,-5.6425,1.0000
1.5407,-5.9662,1.0000
0.5560,-6.3414,1.0000
-0.6725,-6.2344,1.0000
-0.9188,-3.6929,1.0000
-0.2372,-3.5638,1.0000
-3.7973,-5.9739,1.0000
0.7947,-6.4155,1.0000
