feature1,feature2,target
-8.8783,-1.9868,0.0000
-4.6383,-6.8791,0.0000
-8.4632,-4.7916,0.0000
-9.2396,-1.8369,0.0000
-5.8531,-4.4995,0.0000
-9.5583,-3.3551,0.0000
-4.5876,-5.9555,0.0000
-8.1828,-3.3727,0.0000
-5.2550,-5.9865,0.0000
-4.6774,-4.4983,0.0000
-1.8558,-6.5253,0.0000
-6.5572,-2.7321,0.0000
-7.3945,-3.5725,0.0000
-5.4010,-5.9224,0.0000
-4.0567,-5.1933,0.0000
-3.8133,-6.7478,0.0000
-4.1399,-7.0554,0.0000
-3.5850,-6.4329,0.0000
-2.4641,-7.2044,0.0000
-7.9963,-0.9543,0.0000
-5.2207,-6.0346,0.0000
-2.2183,-5.3882,0.0000
-5.5582,-5.3426,0.0000
-3.9199,-3.1099,0.0000
-4.8185,-4.3087,0.0000
-5.8858,-4.6123,0.0000
-2.8234,-7.6707,0.0000
-4.1421,-5.0283,0.0000
-6.1214,-2.5619,0.0000
-4.9799,-3.7683,0.0000
-2.5138,-5.7144,0.0000
-6.2989,-4.1227,0.0000
-6.0897,-4.0171,0.0000
-6.3259,-1.5248,0.0000
-10.6238,-1.3512,0.0000
-2.2933,-8.4201,0.0000
-4.7199,-4.0410,0.0000
-7.0995,-5.7603,0.0000
-3.7650,-5.0641,0.0000
-4.9493,-3.9731,0.0000
-4.6703,-5.6136,0.0000
-5.1058,-4.3143,0.0000
-5.3365,-4.4952,0.0000
-3.3103,-6.1557,0.0000
-4.4598,-3.9429,0.0000
-7.4124,-2.3258,0.0000
-4.6556,-6.2478,0.0000
-5.8437,-4.0469,0.0000
-4.2397,-5.6986,0.0000
-3.1912,-5.8216,0.0000
-3.1856,-5.0826,0.0000
-5.4362,-3.7243,0.0000
-2.5576,-7.2029,0.0000
-7.2453,-4.1034,0.0000
-4.4122,-5.5417,0.0000
-1.8643,-7.6900,0.0000
-7.4027,-3.8128,0.0000
-6.6715,-5.1843,0.0000
-6.0604,-6.2246,0.0000
-7.0897,-2.3320,0.0000
-5.4959,-5.6003,0.0000
-6.3111,-0.9070,0.0000
-0.1845,-8.0673,0.0000
-8.2138,-1.3082,0.0000
-1.8455,-6.9336,0.0000
-5.0432,-5.8108,0.0000
-2.0014,-7.2201,0.0000
-7.1227,-3.7591,0.0000
-6.9135,-4.7049,0.0000
-6.6681,-3.2661,0.0000
-4.6762,-5.4677,0.0000
-6.3126,-2.6262,0.0000
-6.0258,-3.7795,0.0000
-4.7278,-4.3977,0.0000
-5.0106,-4.0242,0.0000
-6.0638,-7.3795,0.0000
-5.6573,-1.2499,0.0000
-6.0071,-4.1345,0.0000
-4.7947,-5.3736,0.0000
-5.8303,-5.7565,0.0000
-4.6081,-6.8019,0.0000
-5.7375,-4.6820,0.0000
-6.1740,-4.0730,0.0000
-6.9413,-2.7567,0.0000
-10.9881,-1.6938,0.0000
-2.9902,-5.7349,0.0000
-10.5392,0.1876,0.0000
-5.2527,-5.0674,0.0000
-8.0276,-2.3787,0.0000
-6.6688,-3.7835,0.0000
-2.0788,-7.4778,0.0000
-5.1530,-3.0181,0.0000
-5.2022,-5.6708,0.0000
-6.0236,-3.6360,0.0000
-5.6471,-4.4563,0.0000
-7.2002,-2.2773,0.0000
-8.2548,-0.1740,0.0000
-7.5488,-4.7527,0.0000
-5.9805,-3.4251,0.0000
-5.9818,-2.5412,0.0000
9.4331,7.7323,1.0000
10.5751,8.1895,1.0000
9.5805,3.9295,1.0000
10.8720,3.8686,1.0000
11.7572,7.0092,1.0000
7.7432,6.3580,1.0000
5.2213,9.9492,1.0000
11.2431,5.9955,1.0000
6.3701,9.0148,1.0000
5.1054,11.0771,1.0000
4.9254,11.7856,1.0000
4.7706,11.3841,1.0000
12.3194,7.1445,1.0000
9.0172,6.7016,1.0000
9.3419,6.3704,1.0000
7.6279,8.6575,1.0000
7.8650,10.6695,1.0000
7.3836,6.8725,1.0000
10.0373,5.0212,1.0000
12.1349,5.0319,1.0000
8.8370,6.7232,1.0000
7.0165,7.0084,1.0000
10.3042,6.6500,1.0000
6.3745,8.9987,1.0000
3.2360,10.9174,1.0000
8.5686,7.1049,1.0000
15.2951,3.4450,1.0000
6.4843,8.0385,1.0000
4.0629,12.7653,1.0000
6.6596,8.4819,1.0000
6.6958,7.1465,1.0000
6.0487,9.4217,1.0000
8.5656,9.1343,1.0000
7.5816,8.7896,1.0000
6.8950,8.0680,1.0000
7.3179,10.8648,1.0000
7.0161,10.2354,1.0000
9.2474,5.5254,1.0000
11.9279,5.8148,1.0000
9.5290,8.4506,1.0000
9.3493,6.0319,1.0000
8.4491,8.8540,1.0000
8.0204,8.2782,1.0000
8.0902,8.1604,1.0000
10.4256,5.6888,1.0000
8.3556,7.5640,1.0000
6.4743,8.5631,1.0000
7.9690,7.6105,1.0000
7.6697,9.4401,1.0000
10.4411,6.3875,1.0000
2.5775,11.3419,1.0000
9.1384,5.6163,1.0000
9.7396,8.5555,1.0000
7.4805,7.5371,1.0000
6.2568,8.8949,1.0000
5.8327,10.5990,1.0000
4.5863,10.4784,1.0000
2.1537,15.0125,1.0000
6.5752,9.3524,1.0000
8.9256,5.8472,1.0000
7.7247,7.1478,1.0000
6.8162,8.0155,1.0000
7.3586,9.9936,1.0000
10.3407,7.3460,1.0000
9.3217,8.3122,1.0000
7.8641,9.7231,1.0000
10.0395,5.8095,1.0000
4.4840,10.6419,1.0000
10.9479,2.3048,1.0000
11.8220,1.1881,1.0000
9.7773,8.0308,1.0000
9.1669,7.2907,1.0000
8.2394,7.7727,1.0000
8.2336,7.5200,1.0000
6.1902,8.1467,1.0000
6.5077,10.7934,1.0000
8.9833,8.1557,1.0000
9.1079,6.1323,1.0000
7.5340,8.1970,1.0000
8.4764,6.5726,1.0000
9.8467,7.4815,1.0000
12.3717,4.1268,1.0000
9.0162,8.0131,1.0000
4.9398,7.1251,1.0000
6.9891,9.4695,1.0000
7.6222,7.7150,1.0000
5.8979,9.5180,1.0000
4.5071,12.2911,1.0000
2.9095,11.9796,1.0000
12.2303,4.7806,1.0000
6.2161,9.8339,1.0000
10.9476,4.4190,1.0000
6.5588,9.1807,1.0000
8.1220,7.6299,1.0000
9.6042,5.6420,1.0000
12.2763,6.2240,1.0000
9.3461,7.3293,1.0000
10.7296,6.3941,1.0000
12.6245,4.6774,1.0000
9.5674,9.4174,1.0000
