feature1,feature2,target
-6.7358,-0.5731,0.0000
-3.2898,-0.4366,0.0000
-7.3102,2.7409,0.0000
-9.0748,-1.0247,0.0000
-7.1751,-0.5714,0.0000
-9.5659,-0.3549,0.0000
-8.1215,1.0452,0.0000
-10.3835,-1.2127,0.0000
-5.5057,3.2170,0.0000
-10.1174,1.1169,0.0000
-9.1985,-1.4841,0.0000
-9.0101,-0.7318,0.0000
-5.7741,1.2339,0.0000
-7.3976,-0.6293,0.0000
-7.4943,-0.1835,0.0000
-6.1264,-1.0939,0.0000
-7.5107,-0.1751,0.0000
-7.5906,0.4317,0.0000
-7.1576,2.3120,0.0000
-7.6505,2.7047,0.0000
-8.0298,-0.8275,0.0000
-7.3255,0.6156,0.0000
-7.0330,2.2377,0.0000
-5.5266,0.8564,0.0000
-8.0826,-0.1743,0.0000
-5.0519,0.3832,0.0000
-9.7703,-1.1944,0.0000
-8.5003,1.9957,0.0000
-7.6856,3.9146,0.0000
-6.3627,0.2162,0.0000
-8.2547,1.6839,0.0000
-7.9169,-1.4274,0.0000
-6.5160,0.0221,0.0000
-5.4405,-0.1275,0.0000
-12.4531,1.3672,0.0000
-10.7523,2.6652,0.0000
-4.3453,-0.7396,0.0000
-9.5173,-2.4198,0.0000
-5.9885,-0.3501,0.0000
-8.5364,-0.4216,0.0000
-3.8826,0.6009,0.0000
-6.2084,1.3456,0.0000
-5.7360,1.8383,0.0000
-8.7306,-0.3727,0.0000
-8.8177,-1.2318,0.0000
-5.5229,-0.8691,0.0000
-7.6371,-1.2000,0.0000
-8.5278,1.3653,0.0000
-8.2715,-0.8351,0.0000
-6.6451,0.8669,0.0000
-6.1275,0.2958,0.0000
-10.5376,1.0917,0.0000
-6.6369,1.7635,0.0000
-8.9661,4.3662,0.0000
-9.6346,1.2591,0.0000
-7.4204,-0.8437,0.0000
-6.0864,-0.4875,0.0000
-11.5454,-2.0218,0.0000
-6.7073,3.8763,0.0000
-10.0656,-0.0294,0.0000
-4.9873,1.0511,0.0000
-8.1506,-2.4628,0.0000
-10.5850,-1.2954,0.0000
-8.1381,-3.8956,0.0000
-10.4335,0.5259,0.0000
-8.2084,-1.3074,0.0000
-8.2058,-1.4075,0.0000
-5.8935,2.8405,0.0000
-3.9084,1.2294,0.0000
-6.2059,2.5342,0.0000
-4.4889,2.5378,0.0000
-5.4003,-1.0993,0.0000
-10.2708,1.5193,0.0000
-7.6625,-0.0964,0.0000
-9.0405,-2.2533,0.0000
-5.0714,0.8056,0.0000
-9.3447,0.6762,0.0000
-6.9707,0.9039,0.0000
-3.6319,-0.0601,0.0000
-9.7164,0.0633,0.0000
-8.6195,0.9501,0.0000
-7.1353,0.6002,0.0000
-8.4822,0.7165,0.0000
-8.3838,0.8959,0.0000
-8.0214,-1.9371,0.0000
-6.6365,-1.2230,0.0000
-4.9991,0.7672,0.0000
-6.6899,0.1755,0.0000
-7.6028,-4.1339,0.0000
-5.3831,-1.4097,0.0000
-5.8437,-1.1059,0.0000
-7.7479,-0.3883,0.0000
-9.2987,-0.2974,0.0000
-6.6749,-0.7174,0.0000
-9.6895,-0.9928,0.0000
-7.0673,1.9870,0.0000
-6.0521,0.4978,0.0000
-9.2244,1.5708,0.0000
-7.4581,-0.4157,0.0000
-5.9236,1.0701,0.0000
-6.6346,-1.9945,0.0000
-8.5574,-2.9512,0.0000
-7.1632,0.0489,0.0000
-5.8848,0.3673,0.0000
-8.1373,3.6572,0.0000
-9.2833,-2.3145,0.0000
-8.5575,0.9088,0.0000
-8.1050,-0.7634,0.0000
-9.4421,2.5510,0.0000
-8.5797,-1.8718,0.0000
-7.7122,-1.3991,0.0000
-7.9028,2.3125,0.0000
-8.2733,-0.0862,0.0000
-8.1383,-0.3321,0.0000
-6.0803,0.9208,0.0000
-8.0917,-1.6124,0.0000
-7.7325,1.4421,0.0000
