pct_valid,avg_cost,t,μ,γ,k
1.0,0.9161139906968864,1,0.01,0.5,1
1.0,0.8356896817261167,2,0.01,0.5,1
1.0,0.8971981433343384,3,0.01,0.5,1
1.0,0.9476016204696609,4,0.01,0.5,1
1.0,0.9441820584749911,5,0.01,0.5,1
1.0,0.8895350382003215,6,0.01,0.5,1
1.0,0.8606548797360208,7,0.01,0.5,1
1.0,0.8601269121079056,8,0.01,0.5,1
1.0,0.8891345890549682,9,0.01,0.5,1
1.0,0.8881549058148253,10,0.01,0.5,1
1.0,0.7346367261727971,1,0.1,0.5,1
1.0,0.7560155640378137,2,0.1,0.5,1
1.0,0.7919334887441146,3,0.1,0.5,1
1.0,0.8123139824248661,4,0.1,0.5,1
1.0,0.8062307618067492,5,0.1,0.5,1
1.0,0.8087776023072374,6,0.1,0.5,1
1.0,0.7964973957511452,7,0.1,0.5,1
1.0,0.7943244412062975,8,0.1,0.5,1
1.0,0.7946152160065642,9,0.1,0.5,1
1.0,0.7909597936474186,10,0.1,0.5,1
1.0,0.765783388593382,1,0.25,0.5,1
1.0,0.7930242618881924,2,0.25,0.5,1
1.0,0.8062213906245244,3,0.25,0.5,1
1.0,0.7925247403676863,4,0.25,0.5,1
1.0,0.7822954153047798,5,0.25,0.5,1
1.0,0.7861927718183178,6,0.25,0.5,1
1.0,0.7859247377778956,7,0.25,0.5,1
1.0,0.792698632147221,8,0.25,0.5,1
1.0,0.7957429284533201,9,0.25,0.5,1
1.0,0.799813255054186,10,0.25,0.5,1
1.0,0.6147470938846622,1,0.01,0.75,1
1.0,0.6205431718962523,2,0.01,0.75,1
1.0,0.7490035086755245,3,0.01,0.75,1
1.0,0.7738768278501206,4,0.01,0.75,1
1.0,0.756866912180661,5,0.01,0.75,1
1.0,0.7772723225088243,6,0.01,0.75,1
1.0,0.7972287113474493,7,0.01,0.75,1
1.0,0.8125305498707353,8,0.01,0.75,1
1.0,0.8431383827567532,9,0.01,0.75,1
1.0,0.8514007323606525,10,0.01,0.75,1
1.0,0.8074690568162582,1,0.1,0.75,1
1.0,0.8865841565211166,2,0.1,0.75,1
1.0,0.8208320815902351,3,0.1,0.75,1
1.0,0.7902088471984895,4,0.1,0.75,1
1.0,0.8071486364185732,5,0.1,0.75,1
1.0,0.8032904082295161,6,0.1,0.75,1
1.0,0.7934213726628382,7,0.1,0.75,1
1.0,0.7953257065198988,8,0.1,0.75,1
1.0,0.7969244658415129,9,0.1,0.75,1
1.0,0.7931308606397557,10,0.1,0.75,1
1.0,0.7756836041563735,1,0.25,0.75,1
1.0,0.8046205458980515,2,0.25,0.75,1
1.0,0.809366631308931,3,0.25,0.75,1
1.0,0.8062530011814598,4,0.25,0.75,1
1.0,0.8028157506192579,5,0.25,0.75,1
1.0,0.7937902297842606,6,0.25,0.75,1
1.0,0.8018110416151012,7,0.25,0.75,1
1.0,0.8060699732784845,8,0.25,0.75,1
1.0,0.8087228334919887,9,0.25,0.75,1
1.0,0.8072811195197469,10,0.25,0.75,1
1.0,0.8785402398567913,1,0.01,0.9,1
1.0,0.8836566234166754,2,0.01,0.9,1
1.0,0.9005507559284408,3,0.01,0.9,1
1.0,0.8819938814718672,4,0.01,0.9,1
1.0,0.8494501058101115,5,0.01,0.9,1
1.0,0.8554520386806521,6,0.01,0.9,1
1.0,0.8492805402247591,7,0.01,0.9,1
1.0,0.832745377693449,8,0.01,0.9,1
1.0,0.8451138812135535,9,0.01,0.9,1
1.0,0.8510312592585152,10,0.01,0.9,1
1.0,0.911700692753749,1,0.1,0.9,1
1.0,0.8096713343359532,2,0.1,0.9,1
1.0,0.8160289647466569,3,0.1,0.9,1
1.0,0.7833621551413069,4,0.1,0.9,1
1.0,0.7951152780921527,5,0.1,0.9,1
1.0,0.8051931176928276,6,0.1,0.9,1
1.0,0.8057618844387385,7,0.1,0.9,1
1.0,0.8004782893574937,8,0.1,0.9,1
1.0,0.8074371885548342,9,0.1,0.9,1
1.0,0.8069331169052487,10,0.1,0.9,1
1.0,0.8186717658790383,1,0.25,0.9,1
1.0,0.8243367321102338,2,0.25,0.9,1
1.0,0.8207807889910407,3,0.25,0.9,1
1.0,0.8206392581740541,4,0.25,0.9,1
1.0,0.8159214538754874,5,0.25,0.9,1
1.0,0.8177837456873168,6,0.25,0.9,1
1.0,0.8141882105900675,7,0.25,0.9,1
1.0,0.8170609889173218,8,0.25,0.9,1
1.0,0.8162685785068606,9,0.25,0.9,1
1.0,0.8117792343219296,10,0.25,0.9,1
1.0,0.4763475078240752,1,0.01,0.5,2
1.0,0.543427716311999,2,0.01,0.5,2
1.0,0.7628291218271557,3,0.01,0.5,2
1.0,0.7521258445410676,4,0.01,0.5,2
1.0,0.7916521208040748,5,0.01,0.5,2
1.0,0.8217945318956451,6,0.01,0.5,2
1.0,0.8359056150689247,7,0.01,0.5,2
1.0,0.8429358030893518,8,0.01,0.5,2
1.0,0.8879382171361102,9,0.01,0.5,2
1.0,0.8972094162385024,10,0.01,0.5,2
1.0,0.8038584453485003,1,0.1,0.5,2
1.0,0.8257370286986192,2,0.1,0.5,2
1.0,0.8285993749651493,3,0.1,0.5,2
1.0,0.8466238297820767,4,0.1,0.5,2
1.0,0.8086408717117405,5,0.1,0.5,2
1.0,0.7786277210983483,6,0.1,0.5,2
1.0,0.7803230119178639,7,0.1,0.5,2
1.0,0.7841480649517256,8,0.1,0.5,2
1.0,0.7827979998619676,9,0.1,0.5,2
1.0,0.776031109123866,10,0.1,0.5,2
1.0,0.8108020309711912,1,0.25,0.5,2
1.0,0.8063971670148918,2,0.25,0.5,2
1.0,0.8023809527862004,3,0.25,0.5,2
1.0,0.8095324049196472,4,0.25,0.5,2
1.0,0.8004918720861823,5,0.25,0.5,2
1.0,0.8070983400958093,6,0.25,0.5,2
1.0,0.7979904461332485,7,0.25,0.5,2
1.0,0.795546670990137,8,0.25,0.5,2
1.0,0.8005571205751969,9,0.25,0.5,2
1.0,0.800193635345841,10,0.25,0.5,2
1.0,0.9189917340443728,1,0.01,0.75,2
1.0,0.7696047512426828,2,0.01,0.75,2
1.0,0.7812191078361478,3,0.01,0.75,2
1.0,0.7496210916866153,4,0.01,0.75,2
1.0,0.7291371199033191,5,0.01,0.75,2
1.0,0.7836788609993227,6,0.01,0.75,2
1.0,0.7748816316481707,7,0.01,0.75,2
1.0,0.8152808897745125,8,0.01,0.75,2
1.0,0.7803920915966038,9,0.01,0.75,2
1.0,0.8124783592213004,10,0.01,0.75,2
1.0,0.8361085744088079,1,0.1,0.75,2
1.0,0.8679944282231583,2,0.1,0.75,2
1.0,0.8351926700824136,3,0.1,0.75,2
1.0,0.8210089113706177,4,0.1,0.75,2
1.0,0.8130027683155487,5,0.1,0.75,2
1.0,0.8304360223967028,6,0.1,0.75,2
1.0,0.8366032721781879,7,0.1,0.75,2
1.0,0.8373607168582995,8,0.1,0.75,2
1.0,0.8331518372679428,9,0.1,0.75,2
1.0,0.8260470308970889,10,0.1,0.75,2
1.0,0.7604178669265732,1,0.25,0.75,2
1.0,0.7970342528549411,2,0.25,0.75,2
1.0,0.7830799480607742,3,0.25,0.75,2
1.0,0.7879451365018556,4,0.25,0.75,2
1.0,0.7780777563201303,5,0.25,0.75,2
1.0,0.7822056154613658,6,0.25,0.75,2
1.0,0.7912328113352196,7,0.25,0.75,2
1.0,0.7920950859669744,8,0.25,0.75,2
1.0,0.7935361921120035,9,0.25,0.75,2
1.0,0.7945704638472927,10,0.25,0.75,2
1.0,0.6463690827976384,1,0.01,0.9,2
1.0,0.7132361316392525,2,0.01,0.9,2
1.0,0.8352081761376047,3,0.01,0.9,2
1.0,0.9077877925093509,4,0.01,0.9,2
1.0,0.8747925885421655,5,0.01,0.9,2
1.0,0.8426554835998504,6,0.01,0.9,2
1.0,0.8388446608376777,7,0.01,0.9,2
1.0,0.8507143186742919,8,0.01,0.9,2
1.0,0.8164644868126576,9,0.01,0.9,2
1.0,0.8186194153135411,10,0.01,0.9,2
1.0,0.8157357993345938,1,0.1,0.9,2
1.0,0.8013875961971377,2,0.1,0.9,2
1.0,0.7959441361393701,3,0.1,0.9,2
1.0,0.784899050127996,4,0.1,0.9,2
1.0,0.7897981722059096,5,0.1,0.9,2
1.0,0.7849068346466882,6,0.1,0.9,2
1.0,0.7979698010167489,7,0.1,0.9,2
1.0,0.799058110041161,8,0.1,0.9,2
1.0,0.7999272314801215,9,0.1,0.9,2
1.0,0.8029118762483998,10,0.1,0.9,2
1.0,0.8299328772811049,1,0.25,0.9,2
1.0,0.8201312950832775,2,0.25,0.9,2
1.0,0.8066262282732016,3,0.25,0.9,2
1.0,0.8159794841758282,4,0.25,0.9,2
1.0,0.802772844093176,5,0.25,0.9,2
1.0,0.8041520828303084,6,0.25,0.9,2
1.0,0.808258610367243,7,0.25,0.9,2
1.0,0.8117159695396489,8,0.25,0.9,2
1.0,0.8102907578289643,9,0.25,0.9,2
1.0,0.8122546691277502,10,0.25,0.9,2
1.0,0.6089093123736662,1,0.01,0.5,3
1.0,0.7607944223183263,2,0.01,0.5,3
1.0,0.7940764251812769,3,0.01,0.5,3
1.0,0.8537219182675801,4,0.01,0.5,3
1.0,0.8275755347815257,5,0.01,0.5,3
1.0,0.7956175944890755,6,0.01,0.5,3
1.0,0.7855813517428455,7,0.01,0.5,3
1.0,0.7790881018150114,8,0.01,0.5,3
1.0,0.7624210361947421,9,0.01,0.5,3
1.0,0.7736157465320337,10,0.01,0.5,3
1.0,0.7528056669975263,1,0.1,0.5,3
1.0,0.7266695027666383,2,0.1,0.5,3
1.0,0.7284938096274439,3,0.1,0.5,3
1.0,0.7559582525476272,4,0.1,0.5,3
1.0,0.7598125923674881,5,0.1,0.5,3
1.0,0.7944066343965854,6,0.1,0.5,3
1.0,0.7947758582497819,7,0.1,0.5,3
1.0,0.7995279977681568,8,0.1,0.5,3
1.0,0.8122971862046162,9,0.1,0.5,3
1.0,0.8116892756478498,10,0.1,0.5,3
1.0,0.8015338508846311,1,0.25,0.5,3
1.0,0.7731553799677303,2,0.25,0.5,3
1.0,0.8005349712686638,3,0.25,0.5,3
1.0,0.8086432325247156,4,0.25,0.5,3
1.0,0.8120586296983149,5,0.25,0.5,3
1.0,0.8043780770351903,6,0.25,0.5,3
1.0,0.7981127377635804,7,0.25,0.5,3
1.0,0.8031586227941451,8,0.25,0.5,3
1.0,0.8034559773134555,9,0.25,0.5,3
1.0,0.801814034634847,10,0.25,0.5,3
1.0,0.9154805247321952,1,0.01,0.75,3
1.0,0.7870873288983025,2,0.01,0.75,3
1.0,0.8312824356985936,3,0.01,0.75,3
1.0,0.8296778065875984,4,0.01,0.75,3
1.0,0.8275970626801425,5,0.01,0.75,3
1.0,0.8190961872897226,6,0.01,0.75,3
1.0,0.832256685769399,7,0.01,0.75,3
1.0,0.8392847178297815,8,0.01,0.75,3
1.0,0.833937551623787,9,0.01,0.75,3
1.0,0.8209873908279447,10,0.01,0.75,3
1.0,0.7927453684784332,1,0.1,0.75,3
1.0,0.774843180904496,2,0.1,0.75,3
1.0,0.8055748939383865,3,0.1,0.75,3
1.0,0.7837505435167009,4,0.1,0.75,3
1.0,0.8015611174074825,5,0.1,0.75,3
1.0,0.8070799116340641,6,0.1,0.75,3
1.0,0.819322649066297,7,0.1,0.75,3
1.0,0.8129000488359589,8,0.1,0.75,3
1.0,0.810204662586675,9,0.1,0.75,3
1.0,0.8130603938920229,10,0.1,0.75,3
1.0,0.7716522582812847,1,0.25,0.75,3
1.0,0.7859295728847383,2,0.25,0.75,3
1.0,0.809873811541085,3,0.25,0.75,3
1.0,0.7954819296636156,4,0.25,0.75,3
1.0,0.8004752976423498,5,0.25,0.75,3
1.0,0.8050728383391498,6,0.25,0.75,3
1.0,0.80146609182635,7,0.25,0.75,3
1.0,0.8006385463644069,8,0.25,0.75,3
1.0,0.8009528234516157,9,0.25,0.75,3
1.0,0.8032737697545338,10,0.25,0.75,3
1.0,0.6061476590600396,1,0.01,0.9,3
1.0,0.8213878851688846,2,0.01,0.9,3
1.0,0.7998904944185543,3,0.01,0.9,3
1.0,0.749647044391409,4,0.01,0.9,3
1.0,0.7430515657362222,5,0.01,0.9,3
1.0,0.7267492975717339,6,0.01,0.9,3
1.0,0.7323476324323214,7,0.01,0.9,3
1.0,0.7855898368948347,8,0.01,0.9,3
1.0,0.7883415403986735,9,0.01,0.9,3
1.0,0.8062442241251497,10,0.01,0.9,3
1.0,0.712690301068638,1,0.1,0.9,3
1.0,0.8211102800954954,2,0.1,0.9,3
1.0,0.7961585976580945,3,0.1,0.9,3
1.0,0.7782029191431084,4,0.1,0.9,3
1.0,0.7847380133692471,5,0.1,0.9,3
1.0,0.785151406314006,6,0.1,0.9,3
1.0,0.7843049249533942,7,0.1,0.9,3
1.0,0.7823334313235488,8,0.1,0.9,3
1.0,0.7819646527605106,9,0.1,0.9,3
1.0,0.7783896163939448,10,0.1,0.9,3
1.0,0.8351778651759594,1,0.25,0.9,3
1.0,0.8117744311979934,2,0.25,0.9,3
1.0,0.8146283575650254,3,0.25,0.9,3
1.0,0.7978375691493979,4,0.25,0.9,3
1.0,0.7945254682864468,5,0.25,0.9,3
1.0,0.7982156201247679,6,0.25,0.9,3
1.0,0.8009404724290211,7,0.25,0.9,3
1.0,0.8032336027248103,8,0.25,0.9,3
1.0,0.8041780654286711,9,0.25,0.9,3
1.0,0.8037207032920066,10,0.25,0.9,3
1.0,0.7979289100091942,1,0.01,0.5,4
1.0,0.8898869646244395,2,0.01,0.5,4
1.0,0.930705846831675,3,0.01,0.5,4
1.0,0.9277485083877124,4,0.01,0.5,4
1.0,0.95998235914306,5,0.01,0.5,4
1.0,0.8731917017738354,6,0.01,0.5,4
1.0,0.8398561170819758,7,0.01,0.5,4
1.0,0.8440666756673016,8,0.01,0.5,4
1.0,0.8363596251740218,9,0.01,0.5,4
1.0,0.8287249226122141,10,0.01,0.5,4
1.0,0.7852670577474743,1,0.1,0.5,4
1.0,0.7799580301879518,2,0.1,0.5,4
1.0,0.7710341039923587,3,0.1,0.5,4
1.0,0.7659098357606104,4,0.1,0.5,4
1.0,0.7619435909126767,5,0.1,0.5,4
1.0,0.7639209015223569,6,0.1,0.5,4
1.0,0.7655680796887018,7,0.1,0.5,4
1.0,0.7631540342516008,8,0.1,0.5,4
1.0,0.7687046462848489,9,0.1,0.5,4
1.0,0.770238684531782,10,0.1,0.5,4
1.0,0.8332144872285677,1,0.25,0.5,4
1.0,0.8309119273767086,2,0.25,0.5,4
1.0,0.7977130800014776,3,0.25,0.5,4
1.0,0.8099755795158129,4,0.25,0.5,4
1.0,0.8096764252618199,5,0.25,0.5,4
1.0,0.8071179893279318,6,0.25,0.5,4
1.0,0.8132460653412129,7,0.25,0.5,4
1.0,0.7991753344290696,8,0.25,0.5,4
1.0,0.797274414011034,9,0.25,0.5,4
1.0,0.7982420515241182,10,0.25,0.5,4
1.0,0.52562946822618,1,0.01,0.75,4
1.0,0.7934163419987231,2,0.01,0.75,4
1.0,0.887083437534766,3,0.01,0.75,4
1.0,0.8106893418686117,4,0.01,0.75,4
1.0,0.8061042991727786,5,0.01,0.75,4
1.0,0.7982480060242585,6,0.01,0.75,4
1.0,0.7338542190531467,7,0.01,0.75,4
1.0,0.7824319377593134,8,0.01,0.75,4
1.0,0.798696666699917,9,0.01,0.75,4
1.0,0.8113111925263481,10,0.01,0.75,4
1.0,0.7556506909294987,1,0.1,0.75,4
1.0,0.6764790569037704,2,0.1,0.75,4
1.0,0.7143623197396743,3,0.1,0.75,4
1.0,0.7379698996649745,4,0.1,0.75,4
1.0,0.7349528260116789,5,0.1,0.75,4
1.0,0.779807578515794,6,0.1,0.75,4
1.0,0.778705355435057,7,0.1,0.75,4
1.0,0.7652276822045417,8,0.1,0.75,4
1.0,0.7733362915201779,9,0.1,0.75,4
1.0,0.7719702447205468,10,0.1,0.75,4
1.0,0.8365236139359845,1,0.25,0.75,4
1.0,0.8185736593606839,2,0.25,0.75,4
