pct_valid,avg_cost,t,μ,γ,k
1.0,4.631414470763766,1,0.01,0.55,1
1.0,5.181698563212648,2,0.01,0.55,1
1.0,6.40156230931169,1,0.05,0.55,1
0.9615384615384616,8.03865660418456,2,0.05,0.55,1
1.0,7.118286310622804,1,0.1,0.55,1
1.0,9.565563234854498,2,0.1,0.55,1
1.0,3.0133038346638723,1,0.01,0.75,1
1.0,5.253570214625479,2,0.01,0.75,1
1.0,6.355312738174261,1,0.05,0.75,1
1.0,8.717224328879006,2,0.05,0.75,1
1.0,10.794906206169653,1,0.1,0.75,1
1.0,12.819906395914133,2,0.1,0.75,1
1.0,2.3958297101421886,1,0.01,0.9,1
1.0,6.340346993658945,2,0.01,0.9,1
1.0,7.23602100605022,1,0.05,0.9,1
1.0,9.40638081304388,2,0.05,0.9,1
1.0,8.41724420460759,1,0.1,0.9,1
1.0,11.119352499134115,2,0.1,0.9,1
