pct_valid,avg_cost,t,μ,γ,k
1.0,4.904328660468904,1,0.01,0.5,1
1.0,9.334359017102223,2,0.01,0.5,1
1.0,11.147355043990574,3,0.01,0.5,1
1.0,12.61697020904141,4,0.01,0.5,1
1.0,13.196502211037917,5,0.01,0.5,1
1.0,14.329237656846848,6,0.01,0.5,1
1.0,16.620209041025586,7,0.01,0.5,1
1.0,17.39041729466815,8,0.01,0.5,1
1.0,18.344309671420532,9,0.01,0.5,1
1.0,19.055859133114943,10,0.01,0.5,1
1.0,18.61641435732928,1,0.1,0.5,1
1.0,26.125196021459505,2,0.1,0.5,1
1.0,30.01795309907769,3,0.1,0.5,1
1.0,32.26454977691279,4,0.1,0.5,1
1.0,35.603791710428446,5,0.1,0.5,1
1.0,37.486943887037114,6,0.1,0.5,1
1.0,39.57243561444559,7,0.1,0.5,1
1.0,41.3326373124801,8,0.1,0.5,1
1.0,43.13890955449334,9,0.1,0.5,1
1.0,44.2542719008624,10,0.1,0.5,1
1.0,26.571904979416402,1,0.25,0.5,1
1.0,37.393100247069,2,0.25,0.5,1
1.0,44.14310352535283,3,0.25,0.5,1
1.0,47.37243107762833,4,0.25,0.5,1
1.0,49.59812417294113,5,0.25,0.5,1
1.0,51.014424444875544,6,0.25,0.5,1
1.0,51.80079053259545,7,0.25,0.5,1
1.0,53.10432011335795,8,0.25,0.5,1
1.0,54.46139947598537,9,0.25,0.5,1
1.0,54.90430962546528,10,0.25,0.5,1
1.0,6.3373513725427,1,0.01,0.75,1
1.0,7.860697314792119,2,0.01,0.75,1
1.0,9.446150153850336,3,0.01,0.75,1
1.0,11.861859110995866,4,0.01,0.75,1
1.0,14.933251494551433,5,0.01,0.75,1
1.0,16.85275399488444,6,0.01,0.75,1
1.0,18.008307060514014,7,0.01,0.75,1
1.0,18.94571925663279,8,0.01,0.75,1
1.0,19.396190561094098,9,0.01,0.75,1
1.0,19.738603755108574,10,0.01,0.75,1
1.0,17.816163831949076,1,0.1,0.75,1
1.0,24.316683178821016,2,0.1,0.75,1
1.0,29.585666828842882,3,0.1,0.75,1
1.0,33.754168425664474,4,0.1,0.75,1
1.0,36.84451480508231,5,0.1,0.75,1
1.0,39.6769223300247,6,0.1,0.75,1
1.0,42.325088915570646,7,0.1,0.75,1
1.0,43.92594456443652,8,0.1,0.75,1
1.0,45.433034761965516,9,0.1,0.75,1
1.0,46.8361373131742,10,0.1,0.75,1
1.0,29.92876364094714,1,0.25,0.75,1
1.0,38.41705560950605,2,0.25,0.75,1
1.0,42.24903419732422,3,0.25,0.75,1
1.0,46.54901706115655,4,0.25,0.75,1
1.0,49.50192006001593,5,0.25,0.75,1
1.0,52.16325779624634,6,0.25,0.75,1
1.0,53.644630737263284,7,0.25,0.75,1
1.0,54.00512386108634,8,0.25,0.75,1
1.0,55.114371005506904,9,0.25,0.75,1
1.0,55.79041527654017,10,0.25,0.75,1
1.0,4.7058633272595,1,0.01,0.9,1
1.0,7.008810997581107,2,0.01,0.9,1
1.0,8.087668051212273,3,0.01,0.9,1
1.0,11.508323504318536,4,0.01,0.9,1
1.0,12.416521837090695,5,0.01,0.9,1
1.0,13.881616311051,6,0.01,0.9,1
1.0,15.46127515389869,7,0.01,0.9,1
1.0,17.236419837608977,8,0.01,0.9,1
1.0,18.060554065160577,9,0.01,0.9,1
1.0,19.304803513756855,10,0.01,0.9,1
1.0,19.510361537906704,1,0.1,0.9,1
1.0,26.16380055119157,2,0.1,0.9,1
1.0,29.030482613436458,3,0.1,0.9,1
1.0,32.69402539139213,4,0.1,0.9,1
1.0,36.002203242559524,5,0.1,0.9,1
1.0,38.080430330452515,6,0.1,0.9,1
1.0,40.281300400340605,7,0.1,0.9,1
1.0,42.29104353896836,8,0.1,0.9,1
1.0,43.76674388431857,9,0.1,0.9,1
1.0,45.414849615949706,10,0.1,0.9,1
1.0,26.64990121280372,1,0.25,0.9,1
1.0,36.04274548781225,2,0.25,0.9,1
1.0,40.566543041142175,3,0.25,0.9,1
1.0,44.68156449278526,4,0.25,0.9,1
1.0,47.63832090920752,5,0.25,0.9,1
1.0,50.719116795333655,6,0.25,0.9,1
1.0,51.9539365979492,7,0.25,0.9,1
1.0,53.41995960527403,8,0.25,0.9,1
1.0,54.76875367542475,9,0.25,0.9,1
1.0,55.394213692234786,10,0.25,0.9,1
1.0,8.688829317650065,1,0.01,0.5,2
1.0,11.798198522154607,2,0.01,0.5,2
1.0,13.34064593520736,3,0.01,0.5,2
1.0,14.642575854528316,4,0.01,0.5,2
1.0,15.793395046982086,5,0.01,0.5,2
1.0,17.039400285201765,6,0.01,0.5,2
1.0,17.41911516178851,7,0.01,0.5,2
1.0,18.388798005725867,8,0.01,0.5,2
1.0,18.61563148438329,9,0.01,0.5,2
1.0,19.864391146662403,10,0.01,0.5,2
1.0,17.22610820586611,1,0.1,0.5,2
1.0,24.081919978452238,2,0.1,0.5,2
1.0,29.043638153378804,3,0.1,0.5,2
1.0,33.402878252852744,4,0.1,0.5,2
1.0,37.184420675082606,5,0.1,0.5,2
1.0,38.8826281974382,6,0.1,0.5,2
1.0,40.40142060183892,7,0.1,0.5,2
1.0,42.10567256792019,8,0.1,0.5,2
1.0,43.32162388000927,9,0.1,0.5,2
1.0,44.45107139421134,10,0.1,0.5,2
1.0,28.85177164238385,1,0.25,0.5,2
1.0,39.33214093801839,2,0.25,0.5,2
1.0,45.782108937088665,3,0.25,0.5,2
1.0,48.57632622568552,4,0.25,0.5,2
1.0,51.00941859718659,5,0.25,0.5,2
1.0,52.541862201709904,6,0.25,0.5,2
1.0,53.89266245564644,7,0.25,0.5,2
1.0,54.78657139896298,8,0.25,0.5,2
1.0,55.38031184654035,9,0.25,0.5,2
1.0,55.88342577255499,10,0.25,0.5,2
1.0,5.735698871650148,1,0.01,0.75,2
1.0,10.122558624878895,2,0.01,0.75,2
1.0,13.004600151626013,3,0.01,0.75,2
1.0,13.254267946741027,4,0.01,0.75,2
1.0,14.597652557830063,5,0.01,0.75,2
1.0,16.284577678038413,6,0.01,0.75,2
1.0,17.749910219322988,7,0.01,0.75,2
1.0,19.027837985423595,8,0.01,0.75,2
1.0,19.7596654824574,9,0.01,0.75,2
1.0,20.56724268889855,10,0.01,0.75,2
1.0,16.54300890013752,1,0.1,0.75,2
1.0,22.9840888073556,2,0.1,0.75,2
1.0,26.820294401179375,3,0.1,0.75,2
1.0,31.684244457164258,4,0.1,0.75,2
1.0,34.22763342157895,5,0.1,0.75,2
1.0,37.36811780625182,6,0.1,0.75,2
1.0,39.881850435076046,7,0.1,0.75,2
1.0,41.20317882541729,8,0.1,0.75,2
1.0,43.16346931949962,9,0.1,0.75,2
1.0,45.30125400488572,10,0.1,0.75,2
1.0,28.857512041492758,1,0.25,0.75,2
1.0,37.177741809688975,2,0.25,0.75,2
1.0,44.369552503874935,3,0.25,0.75,2
1.0,48.01638402966899,4,0.25,0.75,2
1.0,50.45425080137817,5,0.25,0.75,2
1.0,51.630258829295876,6,0.25,0.75,2
1.0,53.4559486340369,7,0.25,0.75,2
1.0,53.73029270880135,8,0.25,0.75,2
1.0,54.2758872940047,9,0.25,0.75,2
1.0,54.287641723808925,10,0.25,0.75,2
1.0,5.821216979969162,1,0.01,0.9,2
1.0,8.70548809141322,2,0.01,0.9,2
1.0,11.43563677894354,3,0.01,0.9,2
1.0,13.365268357882345,4,0.01,0.9,2
1.0,14.093845926349703,5,0.01,0.9,2
1.0,14.90497986621055,6,0.01,0.9,2
1.0,15.718614385640748,7,0.01,0.9,2
1.0,16.389073193016976,8,0.01,0.9,2
1.0,18.045348723463153,9,0.01,0.9,2
1.0,18.818027087226092,10,0.01,0.9,2
1.0,19.148923770454065,1,0.1,0.9,2
1.0,25.01566418339256,2,0.1,0.9,2
1.0,28.72811378084695,3,0.1,0.9,2
1.0,32.30854619936821,4,0.1,0.9,2
1.0,35.43398889117834,5,0.1,0.9,2
1.0,37.77550682974057,6,0.1,0.9,2
1.0,39.739742698532694,7,0.1,0.9,2
1.0,41.82428820245895,8,0.1,0.9,2
1.0,43.741129141404905,9,0.1,0.9,2
1.0,45.19375643138913,10,0.1,0.9,2
1.0,29.775654867800892,1,0.25,0.9,2
1.0,38.98504291718104,2,0.25,0.9,2
1.0,44.32553096584392,3,0.25,0.9,2
1.0,46.96317427273036,4,0.25,0.9,2
1.0,49.74928588951909,5,0.25,0.9,2
1.0,51.50041545655338,6,0.25,0.9,2
1.0,52.40955192613635,7,0.25,0.9,2
1.0,53.29969172435842,8,0.25,0.9,2
1.0,54.07897880115049,9,0.25,0.9,2
1.0,54.91460928160657,10,0.25,0.9,2
1.0,5.740412287097258,1,0.01,0.5,3
1.0,8.554445609817117,2,0.01,0.5,3
1.0,9.219270684529823,3,0.01,0.5,3
1.0,10.656927591726305,4,0.01,0.5,3
1.0,12.258358671627963,5,0.01,0.5,3
1.0,15.262890228606905,6,0.01,0.5,3
1.0,15.708915644578806,7,0.01,0.5,3
1.0,17.111205535354184,8,0.01,0.5,3
1.0,17.878785741815665,9,0.01,0.5,3
1.0,19.108725871151893,10,0.01,0.5,3
1.0,16.717973110270595,1,0.1,0.5,3
1.0,23.47556280589178,2,0.1,0.5,3
1.0,28.027508780110008,3,0.1,0.5,3
1.0,32.629272963866995,4,0.1,0.5,3
1.0,34.596241961653206,5,0.1,0.5,3
1.0,37.39742121262757,6,0.1,0.5,3
1.0,40.02312162661319,7,0.1,0.5,3
1.0,41.18902716222553,8,0.1,0.5,3
1.0,43.63941852270017,9,0.1,0.5,3
1.0,44.85231441036946,10,0.1,0.5,3
1.0,28.595720705716914,1,0.25,0.5,3
1.0,39.07060773683061,2,0.25,0.5,3
1.0,43.029650141716495,3,0.25,0.5,3
1.0,46.58230315698468,4,0.25,0.5,3
1.0,49.16246499603186,5,0.25,0.5,3
1.0,50.87283769580193,6,0.25,0.5,3
1.0,52.49643740574145,7,0.25,0.5,3
1.0,52.86780147408179,8,0.25,0.5,3
1.0,53.843980186750734,9,0.25,0.5,3
1.0,55.279762654866495,10,0.25,0.5,3
1.0,6.002251272884282,1,0.01,0.75,3
1.0,8.349788947612257,2,0.01,0.75,3
1.0,9.838305719597463,3,0.01,0.75,3
1.0,10.906151196834477,4,0.01,0.75,3
1.0,12.487876053732379,5,0.01,0.75,3
1.0,14.098051908930682,6,0.01,0.75,3
1.0,15.198327458989066,7,0.01,0.75,3
1.0,16.179993650365898,8,0.01,0.75,3
1.0,17.23224583085728,9,0.01,0.75,3
1.0,18.332940321230797,10,0.01,0.75,3
1.0,18.307214451106415,1,0.1,0.75,3
1.0,24.317504915085337,2,0.1,0.75,3
1.0,29.030061128099817,3,0.1,0.75,3
1.0,33.350809435971684,4,0.1,0.75,3
1.0,36.19908629551282,5,0.1,0.75,3
1.0,39.146898279030744,6,0.1,0.75,3
1.0,40.98817657423715,7,0.1,0.75,3
1.0,41.59589001850824,8,0.1,0.75,3
1.0,43.17877029965378,9,0.1,0.75,3
1.0,44.952167355631,10,0.1,0.75,3
1.0,26.76603315621153,1,0.25,0.75,3
1.0,37.07862833764237,2,0.25,0.75,3
1.0,42.1670555924828,3,0.25,0.75,3
1.0,46.21343276679076,4,0.25,0.75,3
1.0,48.6478334218706,5,0.25,0.75,3
1.0,50.79605436000113,6,0.25,0.75,3
1.0,52.2116828980859,7,0.25,0.75,3
1.0,52.824328132308445,8,0.25,0.75,3
1.0,54.139048098081375,9,0.25,0.75,3
1.0,55.09527256674403,10,0.25,0.75,3
1.0,7.468943659900612,1,0.01,0.9,3
1.0,9.986905785910055,2,0.01,0.9,3
1.0,11.642409988841889,3,0.01,0.9,3
1.0,13.241156111568829,4,0.01,0.9,3
1.0,14.440722729562513,5,0.01,0.9,3
1.0,15.226215520586212,6,0.01,0.9,3
1.0,16.826861441990232,7,0.01,0.9,3
1.0,17.754092203642436,8,0.01,0.9,3
1.0,18.357271335171692,9,0.01,0.9,3
1.0,19.257028167096582,10,0.01,0.9,3
1.0,15.270761369682488,1,0.1,0.9,3
1.0,22.359280771100693,2,0.1,0.9,3
1.0,28.76394748824999,3,0.1,0.9,3
1.0,31.82322247084936,4,0.1,0.9,3
1.0,34.236892565927114,5,0.1,0.9,3
1.0,36.06577008417477,6,0.1,0.9,3
1.0,39.253204529228064,7,0.1,0.9,3
1.0,40.915475044998544,8,0.1,0.9,3
