pct_valid,avg_cost,t,μ,γ,k
1.0,2.244994432064365,1,0.01,0.5,1
1.0,2.877498913987632,2,0.01,0.5,1
1.0,5.229722745997155,3,0.01,0.5,1
1.0,5.636488268416784,4,0.01,0.5,1
1.0,6.306346010171028,5,0.01,0.5,1
1.0,6.526101439603895,6,0.01,0.5,1
1.0,6.561249880929703,7,0.01,0.5,1
1.0,7.236711960552253,8,0.01,0.5,1
1.0,7.823042886243181,9,0.01,0.5,1
1.0,8.593602271457533,10,0.01,0.5,1
1.0,6.414047084329832,1,0.1,0.5,1
1.0,9.130169768410664,2,0.1,0.5,1
1.0,12.45070279140901,3,0.1,0.5,1
1.0,13.5679770046975,4,0.1,0.5,1
1.0,14.749237268414937,5,0.1,0.5,1
1.0,15.228919856641184,6,0.1,0.5,1
1.0,16.275134408047148,7,0.1,0.5,1
1.0,17.08917786202719,8,0.1,0.5,1
1.0,17.650212463310467,9,0.1,0.5,1
1.0,18.847280971004814,10,0.1,0.5,1
1.0,10.565983153497834,1,0.25,0.5,1
1.0,15.149587453128884,2,0.25,0.5,1
1.0,18.01388353465183,3,0.25,0.5,1
1.0,19.226804206627794,4,0.25,0.5,1
1.0,20.734029999013703,5,0.25,0.5,1
1.0,21.774067144197023,6,0.25,0.5,1
1.0,22.645308564910312,7,0.25,0.5,1
1.0,23.38268590217985,8,0.25,0.5,1
1.0,23.66410784289153,9,0.25,0.5,1
1.0,24.26520142096497,10,0.25,0.5,1
1.0,3.0265491900843133,1,0.01,0.75,1
1.0,3.7282703764614515,2,0.01,0.75,1
1.0,4.987985565335972,3,0.01,0.75,1
1.0,5.105878964487899,4,0.01,0.75,1
1.0,6.483826030978934,5,0.01,0.75,1
1.0,6.939020103732229,6,0.01,0.75,1
1.0,7.116178749862881,7,0.01,0.75,1
1.0,7.2449982746719845,8,0.01,0.75,1
1.0,7.312318373812784,9,0.01,0.75,1
1.0,7.755643106796498,10,0.01,0.75,1
1.0,9.057041459549582,1,0.1,0.75,1
1.0,11.609909560371264,2,0.1,0.75,1
1.0,12.988071450373226,3,0.1,0.75,1
1.0,14.461673485458041,4,0.1,0.75,1
1.0,15.641611170208781,5,0.1,0.75,1
1.0,16.732602905704784,6,0.1,0.75,1
1.0,17.665786141578874,7,0.1,0.75,1
1.0,19.321749403198464,8,0.1,0.75,1
1.0,19.645864704817658,9,0.1,0.75,1
1.0,20.2474689776278,10,0.1,0.75,1
1.0,12.740094191174572,1,0.25,0.75,1
1.0,15.964961634780089,2,0.25,0.75,1
1.0,18.998947339260674,3,0.25,0.75,1
1.0,21.747643550509107,4,0.25,0.75,1
1.0,22.8803409065512,5,0.25,0.75,1
1.0,23.481482065661876,6,0.25,0.75,1
1.0,24.114311103574995,7,0.25,0.75,1
1.0,24.70283384553279,8,0.25,0.75,1
1.0,25.0125968263993,9,0.25,0.75,1
1.0,25.429117169103616,10,0.25,0.75,1
1.0,2.787471972953271,1,0.01,0.9,1
1.0,3.9127995093027708,2,0.01,0.9,1
1.0,4.535416188179427,3,0.01,0.9,1
1.0,5.5848008021772815,4,0.01,0.9,1
1.0,6.168468205316455,5,0.01,0.9,1
1.0,6.3498031465550175,6,0.01,0.9,1
1.0,7.028513356322232,7,0.01,0.9,1
1.0,7.519308478842985,8,0.01,0.9,1
1.0,7.683098333354846,9,0.01,0.9,1
1.0,8.650433515148245,10,0.01,0.9,1
1.0,9.835141076771603,1,0.1,0.9,1
1.0,13.07134270073278,2,0.1,0.9,1
1.0,15.007664708408173,3,0.1,0.9,1
1.0,16.698203496184856,4,0.1,0.9,1
1.0,18.108561511064323,5,0.1,0.9,1
1.0,18.670029459001938,6,0.1,0.9,1
1.0,19.40077318046887,7,0.1,0.9,1
1.0,20.62813612520531,8,0.1,0.9,1
1.0,21.893834748622734,9,0.1,0.9,1
1.0,22.4877744563574,10,0.1,0.9,1
1.0,15.122169156572749,1,0.25,0.9,1
1.0,17.771887913218453,2,0.25,0.9,1
1.0,20.214598685108747,3,0.25,0.9,1
1.0,21.97498577929006,4,0.25,0.9,1
1.0,23.33902311580329,5,0.25,0.9,1
1.0,24.02353013193524,6,0.25,0.9,1
1.0,24.73277178158567,7,0.25,0.9,1
1.0,26.240998456613656,8,0.25,0.9,1
1.0,27.17204445749345,9,0.25,0.9,1
1.0,27.697292286431185,10,0.25,0.9,1
1.0,1.2884098726725124,1,0.01,0.5,2
1.0,4.182104733265299,2,0.01,0.5,2
1.0,4.31624837098145,3,0.01,0.5,2
1.0,4.560701700396554,4,0.01,0.5,2
1.0,4.656178690729128,5,0.01,0.5,2
1.0,4.772839825512691,6,0.01,0.5,2
1.0,4.925444142409902,7,0.01,0.5,2
1.0,5.404627646748666,8,0.01,0.5,2
1.0,5.427706698044766,9,0.01,0.5,2
1.0,5.670097000933937,10,0.01,0.5,2
1.0,7.251896303726359,1,0.1,0.5,2
1.0,8.662563131083088,2,0.1,0.5,2
1.0,10.654576481493764,3,0.1,0.5,2
1.0,12.981910491141129,4,0.1,0.5,2
1.0,14.23024947075771,5,0.1,0.5,2
1.0,14.784789481084948,6,0.1,0.5,2
1.0,15.348941331570725,7,0.1,0.5,2
1.0,16.043378696521508,8,0.1,0.5,2
1.0,16.9150820275871,9,0.1,0.5,2
