pct_valid,avg_cost,t,μ,γ,k
1.0,3.8871611970028295,1,0.01,0.55,1
1.0,4.337097532146739,2,0.01,0.55,1
1.0,5.478816033189373,3,0.01,0.55,1
1.0,5.743528088286446,4,0.01,0.55,1
1.0,6.354766740227597,5,0.01,0.55,1
1.0,7.175709737914995,6,0.01,0.55,1
1.0,7.894076025567654,7,0.01,0.55,1
1.0,8.903097649507753,8,0.01,0.55,1
1.0,9.303104317172249,9,0.01,0.55,1
1.0,9.626251592487984,10,0.01,0.55,1
1.0,8.246627840112458,1,0.05,0.55,1
1.0,12.521200863803857,2,0.05,0.55,1
1.0,14.409178587185803,3,0.05,0.55,1
1.0,17.658285701478732,4,0.05,0.55,1
1.0,20.2114932462889,5,0.05,0.55,1
1.0,22.154129440381002,6,0.05,0.55,1
1.0,24.41047718407613,7,0.05,0.55,1
1.0,25.893124229777168,8,0.05,0.55,1
1.0,27.965141040662697,9,0.05,0.55,1
1.0,29.3726429172224,10,0.05,0.55,1
1.0,16.55176828804127,1,0.1,0.55,1
1.0,24.156617252857917,2,0.1,0.55,1
1.0,28.652477635406388,3,0.1,0.55,1
1.0,32.260064185935256,4,0.1,0.55,1
1.0,37.24219448284741,5,0.1,0.55,1
1.0,39.5182591778671,6,0.1,0.55,1
1.0,42.0741394402478,7,0.1,0.55,1
1.0,44.07449261050798,8,0.1,0.55,1
1.0,46.440461835675045,9,0.1,0.55,1
1.0,48.06796985693125,10,0.1,0.55,1
1.0,7.070632337672271,1,0.01,0.75,1
1.0,10.990607932285522,2,0.01,0.75,1
1.0,13.984373076896295,3,0.01,0.75,1
1.0,16.566732555847754,4,0.01,0.75,1
1.0,21.16455553214208,5,0.01,0.75,1
1.0,22.54729231367221,6,0.01,0.75,1
1.0,22.89324773027601,7,0.01,0.75,1
1.0,24.171209331798416,8,0.01,0.75,1
1.0,25.040253742652787,9,0.01,0.75,1
1.0,25.540530118878944,10,0.01,0.75,1
1.0,17.703947451551883,1,0.05,0.75,1
1.0,25.551181866365194,2,0.05,0.75,1
1.0,29.727768240481204,3,0.05,0.75,1
1.0,33.09962722887523,4,0.05,0.75,1
1.0,37.015378012025124,5,0.05,0.75,1
1.0,40.311275587791535,6,0.05,0.75,1
1.0,42.79838482394399,7,0.05,0.75,1
1.0,44.176273378828334,8,0.05,0.75,1
1.0,47.52786030474117,9,0.05,0.75,1
1.0,47.95592020272554,10,0.05,0.75,1
1.0,25.65873380956717,1,0.1,0.75,1
1.0,36.759988188231816,2,0.1,0.75,1
1.0,43.72424257366991,3,0.1,0.75,1
1.0,49.237363876477936,4,0.1,0.75,1
1.0,53.34544997992358,5,0.1,0.75,1
1.0,55.85792870856999,6,0.1,0.75,1
1.0,59.065235423259494,7,0.1,0.75,1
1.0,62.233333670897835,8,0.1,0.75,1
1.0,62.93725260678868,9,0.1,0.75,1
1.0,64.68335071080632,10,0.1,0.75,1
1.0,9.084342511435104,1,0.01,0.9,1
1.0,11.485349319712283,2,0.01,0.9,1
1.0,15.629847597960124,3,0.01,0.9,1
1.0,16.205065978001805,4,0.01,0.9,1
1.0,18.67961343003736,5,0.01,0.9,1
1.0,19.87595884191455,6,0.01,0.9,1
1.0,22.757039753913485,7,0.01,0.9,1
1.0,23.687202178864336,8,0.01,0.9,1
1.0,25.715262423660384,9,0.01,0.9,1
1.0,27.605657381038302,10,0.01,0.9,1
1.0,23.848558904766268,1,0.05,0.9,1
1.0,29.51835629758554,2,0.05,0.9,1
1.0,35.34241716054009,3,0.05,0.9,1
1.0,39.67432116229841,4,0.05,0.9,1
1.0,42.44894477243514,5,0.05,0.9,1
1.0,44.88493316382935,6,0.05,0.9,1
1.0,48.6724882883173,7,0.05,0.9,1
1.0,51.59829836736778,8,0.05,0.9,1
1.0,53.740560004657475,9,0.05,0.9,1
1.0,56.45820354683698,10,0.05,0.9,1
1.0,26.280611446051072,1,0.1,0.9,1
1.0,39.31386105794805,2,0.1,0.9,1
1.0,45.96691353357448,3,0.1,0.9,1
1.0,53.80354484849465,4,0.1,0.9,1
1.0,55.7855015482743,5,0.1,0.9,1
1.0,58.13767449264912,6,0.1,0.9,1
1.0,60.66036613609885,7,0.1,0.9,1
1.0,62.62090977047651,8,0.1,0.9,1
1.0,65.52260083992441,9,0.1,0.9,1
1.0,67.42912483758255,10,0.1,0.9,1
