pct_valid,avg_cost,t,μ,γ,k
1.0,4.631414470763766,1,0.01,0.55,5
1.0,5.181698563212648,2,0.01,0.55,5
1.0,5.734108474732583,3,0.01,0.55,5
1.0,5.997499478949542,4,0.01,0.55,5
1.0,6.307138812488593,5,0.01,0.55,5
0.9411764705882353,6.832276341015491,6,0.01,0.55,5
0.95,7.4511744040788646,7,0.01,0.55,5
0.9130434782608695,8.10246875958186,8,0.01,0.55,5
1.0,8.268010643437757,9,0.01,0.55,5
1.0,8.324662155306966,10,0.01,0.55,5
1.0,5.26782687642637,1,0.05,0.55,5
0.9615384615384616,7.213182376732202,2,0.05,0.55,5
1.0,7.727224598780601,3,0.05,0.55,5
0.9795918367346939,9.247702417357514,4,0.05,0.55,5
1.0,10.938007131100255,5,0.05,0.55,5
0.9710144927536232,12.42658440602244,6,0.05,0.55,5
0.9875,13.791664149043077,7,0.05,0.55,5
1.0,14.17921013314917,8,0.05,0.55,5
0.94,14.59075049474838,9,0.05,0.55,5
0.9622641509433962,14.826665167865636,10,0.05,0.55,5
1.0,7.179136438319029,1,0.1,0.55,5
1.0,10.295630140987004,2,0.1,0.55,5
0.9850746268656716,12.390318801386835,3,0.1,0.55,5
1.0,13.866506409330366,4,0.1,0.55,5
0.9809523809523809,16.014056325615947,5,0.1,0.55,5
0.9745762711864406,17.135343591536184,6,0.1,0.55,5
0.9621212121212122,17.969696714190817,7,0.1,0.55,5
0.9791666666666666,18.772586396125607,8,0.1,0.55,5
0.9548387096774194,19.535352569124527,9,0.1,0.55,5
0.9696969696969697,20.25586334867019,10,0.1,0.55,5
1.0,1.4966629547095762,1,0.01,0.75,5
1.0,3.3376638536557275,2,0.01,0.75,5
1.0,4.023679907746142,3,0.01,0.75,5
1.0,4.868264577855235,4,0.01,0.75,5
1.0,5.197114584074513,5,0.01,0.75,5
1.0,6.400781202322105,6,0.01,0.75,5
1.0,6.705967491719597,7,0.01,0.75,5
1.0,7.921489758877431,8,0.01,0.75,5
1.0,8.099382692526637,9,0.01,0.75,5
1.0,8.474078120952157,10,0.01,0.75,5
1.0,6.267375846396961,1,0.05,0.75,5
1.0,11.156612389072235,2,0.05,0.75,5
1.0,12.616259350536518,3,0.05,0.75,5
1.0,13.46068348933293,4,0.05,0.75,5
1.0,14.594862109660378,5,0.05,0.75,5
1.0,15.90471628165684,6,0.05,0.75,5
1.0,16.91921984016994,7,0.05,0.75,5
1.0,17.5119958885331,8,0.05,0.75,5
1.0,18.38042436942086,9,0.05,0.75,5
1.0,18.587092295461392,10,0.05,0.75,5
1.0,7.349149610669253,1,0.1,0.75,5
1.0,10.852188719332155,2,0.1,0.75,5
1.0,13.40895223348939,3,0.1,0.75,5
1.0,14.653327267211367,4,0.1,0.75,5
1.0,16.0689140890105,5,0.1,0.75,5
1.0,16.937827487608917,6,0.1,0.75,5
1.0,17.905306476014317,7,0.1,0.75,5
1.0,18.679400418643,8,0.1,0.75,5
1.0,19.52306328422874,9,0.1,0.75,5
1.0,20.20890892651061,10,0.1,0.75,5
1.0,2.1023796041628637,1,0.01,0.9,5
1.0,3.1733263305244868,2,0.01,0.9,5
1.0,5.424020648928249,3,0.01,0.9,5
1.0,5.549774770204645,4,0.01,0.9,5
1.0,5.874521257089809,5,0.01,0.9,5
1.0,7.399324293474374,6,0.01,0.9,5
1.0,8.217663901620707,7,0.01,0.9,5
1.0,8.57438044409041,8,0.01,0.9,5
1.0,8.871302046486752,9,0.01,0.9,5
1.0,10.266450214168483,10,0.01,0.9,5
1.0,4.368065933568312,1,0.05,0.9,5
1.0,5.97411081249754,2,0.05,0.9,5
1.0,10.534704552098274,3,0.05,0.9,5
1.0,12.237238250520422,4,0.05,0.9,5
1.0,13.410443691392173,5,0.05,0.9,5
1.0,14.197534997315561,6,0.05,0.9,5
1.0,15.083103128998362,7,0.05,0.9,5
1.0,15.640012787718563,8,0.05,0.9,5
1.0,16.790473489452292,9,0.05,0.9,5
1.0,17.2826502597258,10,0.05,0.9,5
1.0,8.285529554590946,1,0.1,0.9,5
1.0,11.014535850411495,2,0.1,0.9,5
1.0,13.640747780088896,3,0.1,0.9,5
1.0,15.510641508332276,4,0.1,0.9,5
1.0,16.57618774024957,5,0.1,0.9,5
1.0,17.60227258055051,6,0.1,0.9,5
1.0,18.313110058097728,7,0.1,0.9,5
1.0,19.506665527454974,8,0.1,0.9,5
1.0,20.444803740804172,9,0.1,0.9,5
1.0,21.33026019531877,10,0.1,0.9,5
