pct_valid,avg_cost,t,μ,γ,k
1.0,16.1111066049178,1,0.01,0.5,1
1.0,16.10599530328092,2,0.01,0.5,1
1.0,15.735054260087814,3,0.01,0.5,1
1.0,15.565994598336058,4,0.01,0.5,1
1.0,14.797759366797054,5,0.01,0.5,1
1.0,14.64696881555867,6,0.01,0.5,1
1.0,13.611595721573018,7,0.01,0.5,1
1.0,13.19859252538247,8,0.01,0.5,1
1.0,12.595606627332504,9,0.01,0.5,1
1.0,12.204121554655018,10,0.01,0.5,1
1.0,15.983391114504894,1,0.1,0.5,1
1.0,15.332658921192776,2,0.1,0.5,1
1.0,14.667400343940523,3,0.1,0.5,1
1.0,14.030156591433013,4,0.1,0.5,1
1.0,13.664848518079092,5,0.1,0.5,1
1.0,13.038912563896794,6,0.1,0.5,1
1.0,12.427899165556722,7,0.1,0.5,1
1.0,11.79361416287859,8,0.1,0.5,1
1.0,11.172955715674673,9,0.1,0.5,1
1.0,10.765333735975904,10,0.1,0.5,1
1.0,16.118622880786265,1,0.25,0.5,1
1.0,15.160734356658232,2,0.25,0.5,1
1.0,14.345333048050332,3,0.25,0.5,1
1.0,13.705191383290291,4,0.25,0.5,1
1.0,13.257072484900752,5,0.25,0.5,1
1.0,12.92964996702057,6,0.25,0.5,1
1.0,12.546036696182846,7,0.25,0.5,1
1.0,12.25190572900138,8,0.25,0.5,1
1.0,12.056707645879767,9,0.25,0.5,1
1.0,11.935548345562717,10,0.25,0.5,1
1.0,16.139385713718116,1,0.01,0.75,1
1.0,15.381828225063833,2,0.01,0.75,1
1.0,15.654151055732092,3,0.01,0.75,1
1.0,14.745802700691394,4,0.01,0.75,1
1.0,14.059073621638497,5,0.01,0.75,1
1.0,13.905402903964509,6,0.01,0.75,1
1.0,14.237214446949721,7,0.01,0.75,1
1.0,14.001429677336436,8,0.01,0.75,1
1.0,13.989097226376211,9,0.01,0.75,1
1.0,13.851665618495852,10,0.01,0.75,1
1.0,16.912711599181474,1,0.1,0.75,1
1.0,15.918844824445076,2,0.1,0.75,1
1.0,15.238785918725268,3,0.1,0.75,1
1.0,14.623348153810516,4,0.1,0.75,1
1.0,14.359335752834202,5,0.1,0.75,1
1.0,13.871455225504,6,0.1,0.75,1
1.0,13.253538443349765,7,0.1,0.75,1
1.0,12.675292903338857,8,0.1,0.75,1
1.0,12.113529774968123,9,0.1,0.75,1
1.0,11.748854900743583,10,0.1,0.75,1
1.0,17.012217304956955,1,0.25,0.75,1
1.0,15.794567488731555,2,0.25,0.75,1
1.0,15.363587600776293,3,0.25,0.75,1
1.0,14.83159274113284,4,0.25,0.75,1
1.0,14.444404334044084,5,0.25,0.75,1
1.0,14.109555035053676,6,0.25,0.75,1
1.0,13.72774743981651,7,0.25,0.75,1
1.0,13.360937735168736,8,0.25,0.75,1
1.0,13.046834834808012,9,0.25,0.75,1
1.0,12.815080278065274,10,0.25,0.75,1
1.0,17.20050911768225,1,0.01,0.9,1
1.0,16.217676160366885,2,0.01,0.9,1
1.0,16.92767516200407,3,0.01,0.9,1
1.0,16.30307303792879,4,0.01,0.9,1
1.0,15.396465227755165,5,0.01,0.9,1
1.0,15.303640209732825,6,0.01,0.9,1
1.0,15.049169062968588,7,0.01,0.9,1
1.0,14.844826007880181,8,0.01,0.9,1
1.0,14.767395976373837,9,0.01,0.9,1
1.0,14.413106425201525,10,0.01,0.9,1
1.0,18.12565929172607,1,0.1,0.9,1
1.0,16.697679639395176,2,0.1,0.9,1
1.0,16.062258820672536,3,0.1,0.9,1
1.0,15.562298906868945,4,0.1,0.9,1
1.0,15.214377370389975,5,0.1,0.9,1
1.0,14.722400054831004,6,0.1,0.9,1
1.0,14.408892434316128,7,0.1,0.9,1
1.0,14.047900459976526,8,0.1,0.9,1
1.0,13.770325848678162,9,0.1,0.9,1
1.0,13.590831974394888,10,0.1,0.9,1
1.0,17.772548905917176,1,0.25,0.9,1
1.0,16.519652109195412,2,0.25,0.9,1
1.0,15.768968756989187,3,0.25,0.9,1
1.0,15.2214373624341,4,0.25,0.9,1
1.0,14.767393940620677,5,0.25,0.9,1
1.0,14.360360747052772,6,0.25,0.9,1
1.0,14.086890113453546,7,0.25,0.9,1
1.0,13.88654815806172,8,0.25,0.9,1
1.0,13.791706061145561,9,0.25,0.9,1
1.0,13.677491074178809,10,0.25,0.9,1
1.0,14.52571156145822,1,0.01,0.5,2
1.0,15.862235837755488,2,0.01,0.5,2
1.0,15.82739812834621,3,0.01,0.5,2
1.0,14.9989617554907,4,0.01,0.5,2
1.0,14.474624968944537,5,0.01,0.5,2
1.0,14.069934226554611,6,0.01,0.5,2
1.0,13.553807491570895,7,0.01,0.5,2
1.0,12.969356375424454,8,0.01,0.5,2
1.0,12.554015703233429,9,0.01,0.5,2
1.0,11.905176164734094,10,0.01,0.5,2
1.0,16.16291877479602,1,0.1,0.5,2
1.0,15.237633912354482,2,0.1,0.5,2
1.0,14.473165181779203,3,0.1,0.5,2
1.0,13.997257228786228,4,0.1,0.5,2
1.0,13.652512169357353,5,0.1,0.5,2
1.0,13.21047365733281,6,0.1,0.5,2
1.0,12.802867689656898,7,0.1,0.5,2
1.0,12.21626303019733,8,0.1,0.5,2
1.0,11.69367063198745,9,0.1,0.5,2
1.0,11.22138812111912,10,0.1,0.5,2
1.0,15.837543436613656,1,0.25,0.5,2
1.0,15.24894182265879,2,0.25,0.5,2
1.0,14.54920601536454,3,0.25,0.5,2
1.0,14.187894416657176,4,0.25,0.5,2
1.0,13.862786631286571,5,0.25,0.5,2
1.0,13.375202392873767,6,0.25,0.5,2
1.0,12.909549600097069,7,0.25,0.5,2
1.0,12.526687961185297,8,0.25,0.5,2
1.0,12.2150601727934,9,0.25,0.5,2
1.0,12.030429587209273,10,0.25,0.5,2
1.0,17.34985885481185,1,0.01,0.75,2
1.0,16.0640710036451,2,0.01,0.75,2
1.0,15.305837056089953,3,0.01,0.75,2
1.0,14.99953221216442,4,0.01,0.75,2
1.0,14.664379023697215,5,0.01,0.75,2
1.0,14.369243959798697,6,0.01,0.75,2
1.0,14.073751210398498,7,0.01,0.75,2
1.0,13.609141158635016,8,0.01,0.75,2
1.0,13.304500425346381,9,0.01,0.75,2
1.0,13.04339570536003,10,0.01,0.75,2
1.0,16.65721650609291,1,0.1,0.75,2
1.0,15.814405021801472,2,0.1,0.75,2
1.0,15.222767644424463,3,0.1,0.75,2
1.0,14.604646169099404,4,0.1,0.75,2
1.0,14.300995587795878,5,0.1,0.75,2
1.0,13.893128569303267,6,0.1,0.75,2
1.0,13.511968519887665,7,0.1,0.75,2
1.0,13.051538699927674,8,0.1,0.75,2
1.0,12.56358740940506,9,0.1,0.75,2
1.0,12.126579817898207,10,0.1,0.75,2
1.0,16.719690467908606,1,0.25,0.75,2
1.0,15.679304498519825,2,0.25,0.75,2
1.0,15.172504860651832,3,0.25,0.75,2
1.0,14.800020158076757,4,0.25,0.75,2
1.0,14.471921214457883,5,0.25,0.75,2
1.0,14.11166431695046,6,0.25,0.75,2
1.0,13.754100929021968,7,0.25,0.75,2
1.0,13.505980813130202,8,0.25,0.75,2
1.0,13.411018448601148,9,0.25,0.75,2
1.0,13.33286716166964,10,0.25,0.75,2
1.0,17.442585300693672,1,0.01,0.9,2
1.0,17.772936284713076,2,0.01,0.9,2
1.0,17.326082045669,3,0.01,0.9,2
1.0,15.729925053007285,4,0.01,0.9,2
1.0,15.718815241004526,5,0.01,0.9,2
1.0,15.296826761257176,6,0.01,0.9,2
1.0,15.125603897226027,7,0.01,0.9,2
1.0,14.800353602151535,8,0.01,0.9,2
1.0,14.872237860067122,9,0.01,0.9,2
